pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,6923.970588235294,2623.3153416026616,0.44737170645664504
0.02,70,8401.441176470587,3034.9129185217785,0.5079246236777905
0.02,80,10902.529411764706,3692.5146161269854,0.5217204446289974
0.02,90,16618.676470588234,4269.853708201999,0.5535460076497941
0.02,100,41442.05882352941,6908.251706734391,0.5573356718619585
0.04,60,7407.823529411765,2362.1850113150876,0.44558574430951225
0.04,70,8858.117647058823,2814.98517146555,0.5049241820400583
0.04,80,11321.79411764706,3454.6667480330716,0.5258273246285409
0.04,90,17019.20588235294,4182.143116375592,0.5564945533002909
0.04,100,41481.76470588235,7014.11071072333,0.5528513236608432
0.06,60,7836.823529411765,2171.6372309793774,0.4380761852768009
0.06,70,9521.117647058823,2696.901651074976,0.47465490031835617
0.06,80,12187.264705882353,3189.629983231722,0.5351283315713984
0.06,90,17536.558823529413,4038.6922038115295,0.5550827868243078
0.06,100,41503.117647058825,7225.85081399825,0.5487861539067153
0.08,60,8127.941176470588,2083.3416022903953,0.45256550787410704
0.08,70,10016.529411764706,2473.2054484638793,0.4981063333063236
0.08,80,12544.235294117647,3241.7553347714306,0.5237372246238132
0.08,90,17964.617647058825,4194.927833738837,0.5413920200208839
0.08,100,41606.91176470588,8035.527470397239,0.5540890035667698
0.1,60,8338.823529411764,1884.0352730335499,0.4650162694145864
0.1,70,10136.20588235294,2357.4781613287255,0.5180516455463723
0.1,80,12972.058823529413,2918.5397833725046,0.5182407660375159
0.1,90,18061.647058823528,4259.019059128611,0.5432631101308177
0.1,100,41421.794117647056,8364.224811236638,0.550327720189028
