pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,60,7290.65,2748.854366367924,0.4910038094721594
0.02,70,8796.86,3202.111406619076,0.5076226546515243
0.02,80,11274.3,3757.821143960952,0.5131740522932011
0.02,90,16526.84,4041.1563783649844,0.5204638931398702
0.02,100,40574.0,5251.732079990372,0.5257333942886123
0.04,60,7956.96,2691.819131814023,0.4890027885092343
0.04,70,9665.12,3057.205800334678,0.48514276841135984
0.04,80,11912.98,3531.372959572523,0.5068359713538748
0.04,90,16752.99,3987.287986827638,0.5237730633967439
0.04,100,40521.47,5312.0527829738285,0.5269504408517524
0.06,60,8852.28,2478.2610438773395,0.48574827723005704
0.06,70,10423.56,2680.5485831075703,0.5028093282337368
0.06,80,12834.82,3261.901511020834,0.5061162735758625
0.06,90,17307.74,3770.689400149527,0.5253100374215062
0.06,100,40356.18,5445.418162786032,0.529110233961888
0.08,60,9615.67,2087.053392009893,0.4774545418423296
0.08,70,11150.82,2504.943685514706,0.5100774867724382
0.08,80,13326.54,2993.152753936892,0.5156786613627216
0.08,90,17522.21,3773.557910765383,0.5288883752967303
0.08,100,40024.81,5798.134706429301,0.5227833365312193
0.1,60,9634.43,1758.5478739858065,0.48388532946765095
0.1,70,11464.38,2107.8984784851477,0.49594061091961417
0.1,80,13578.89,2726.9163202966092,0.5091709645854468
0.1,90,17710.83,3648.2816998006065,0.516308032168393
0.1,100,39693.67,6064.828662138774,0.5209010223509972
