pruning_thresh,jepg_quality,data_size_mean,data_size_std,map
0.02,1,232228.23529411765,1758.9834473826324,0.41126033980412274
0.02,2,233275.76470588235,1919.4220186850907,0.42528566994169
0.02,3,234088.4705882353,1901.709451354292,0.42923713381491513
0.02,4,235136.9411764706,1934.8081671314642,0.44184903553233473
0.02,5,235889.29411764705,1963.2869127384574,0.4428442518082734
0.04,1,230357.17647058822,1849.9266196987103,0.4350664165662745
0.04,2,231103.64705882352,1815.1418334203324,0.44873830607679377
0.04,3,231907.64705882352,1716.3929668374303,0.4547665604714748
0.04,4,233184.11764705883,1818.1723817307811,0.4427977041502137
0.04,5,233988.11764705883,1802.0480467040154,0.4475296831998586
0.06,1,229246.23529411765,1603.4166288937972,0.45350923944520993
0.06,2,229694.70588235295,1302.159462752541,0.46275651583625566
0.06,3,230493.0588235294,1307.3785387555572,0.47738250515315694
0.06,4,231823.0588235294,1521.422340350063,0.4636587848463774
0.06,5,232859.29411764705,1573.0099197438192,0.46450823766964905
0.08,1,228486.11764705883,1447.6637520848362,0.4603885675453185
0.08,2,229225.0588235294,1328.3624802337401,0.463343804891995
0.08,3,230080.4705882353,1314.0049296015982,0.47503110630995077
0.08,4,231053.76470588235,1246.9256088670418,0.4756682737369414
0.08,5,232027.5294117647,1270.0784652762513,0.4856855572545127
0.1,1,227726.0,1524.7263978285723,0.46012261230850326
0.1,2,228050.9411764706,1030.2840539549811,0.4707467158005911
0.1,3,229078.4705882353,1291.3364767533565,0.47876510138310663
0.1,4,230402.82352941178,1335.0820303193589,0.459202393783995
0.1,5,231433.41176470587,1147.4317644109556,0.47093714757067
