pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.05,82,1,14990143.63996445,40,1,-1,-1,-1,-1,25800,26544,10.094529390335083,30.78574013369235,20
0.05,81,1,14960613.418991057,40,2,-1,-1,-1,-1,20907,21651,13.33589792251587,30.846507007584254,20
0.05,81,1,14911525.76127576,40,3,-1,-1,-1,-1,21734,22478,16.135817766189575,30.948051463996155,20
0.05,81,1,14843074.19706966,40,4,-1,-1,-1,-1,16051,16795,16.375765800476074,31.090774090300865,20
0.05,81,1,14755528.599677475,40,5,-1,-1,-1,-1,6757,7501,15.835684537887573,31.27523785740578,20
0.05,80,1,14649234.12147018,40,6,-1,-1,-1,-1,9269,10013,15.755375623703003,31.50217020494672,20
0.05,80,1,14524609.833106572,40,7,-1,-1,-1,-1,9228,9972,15.553938150405884,31.772465626910623,20
0.05,80,1,14382147.071328767,40,8,-1,-1,-1,-1,12897,13641,15.9550940990448,32.0871886775964,20
0.05,80,1,14222407.501845464,40,9,-1,-1,-1,-1,13549,14293,16.06539011001587,32.44757729004642,20
0.05,79,1,14046020.904940162,40,10,-1,-1,-1,-1,10997,11741,15.850522518157959,32.8550462646939,20
0.05,79,1,13853682.692534676,40,11,-1,-1,-1,-1,13757,14501,16.096290349960327,33.31119074319101,20
0.05,79,1,13646151.166497033,40,12,-1,-1,-1,-1,15739,16483,16.412394046783447,33.817789429129505,20
0.05,78,1,13424244.529002976,40,13,-1,-1,-1,-1,11289,12033,16.077451705932617,34.37680725121157,20
0.05,78,1,13188837.656737871,40,14,-1,-1,-1,-1,8353,9097,15.772945880889893,34.99039708255912,20
0.05,78,1,12940858.651656875,40,15,-1,-1,-1,-1,7474,8218,15.329852104187012,35.660900029039496,20
0.05,77,1,12681285.18190212,40,16,-1,-1,-1,-1,9487,10231,15.167765617370605,36.39084367610184,20
0.05,77,1,12411140.62730304,40,17,-1,-1,-1,-1,10005,10749,15.302872657775879,37.182937533675144,20
0.05,76,1,12131490.044656344,40,18,-1,-1,-1,-1,12717,13461,15.327911376953125,38.04006473796182,20
0.05,76,1,11843435.968692716,40,19,-1,-1,-1,-1,9418,10162,15.102888345718384,38.96526885327564,20
0.16,87,1,11548114.06528512,40,20,-1,-1,-1,-1,10176,10920,14.364330768585205,39.9617343626639,20
0.06,64,1,11246688.654036107,40,21,-1,-1,-1,-1,7246,7990,14.293661117553711,41.03275914026962,20
0.17,89,1,10940348.117896523,40,22,-1,-1,-1,-1,14434,15178,14.043077230453491,42.18171686070579,20
0.18,92,1,10630300.217913445,40,23,-1,-1,-1,-1,11965,12709,13.677661418914795,43.41200692422666,20
0.19,94,1,10317767.331579072,40,24,-1,-1,-1,-1,10395,11139,13.454989194869995,44.72698907003164,20
0.19,94,1,10003981.633553667,40,25,-1,-1,-1,-1,13336,14080,13.485605716705322,46.12989943112644,20
0.19,93,1,9690180.237762727,40,26,-1,-1,-1,-1,8888,9632,13.306387662887573,47.623744382820064,20
0.19,93,1,9377600.320020882,40,27,-1,-1,-1,-1,10536,11280,13.214209079742432,49.211168200612654,20
0.19,92,1,9067474.240411792,40,28,-1,-1,-1,-1,9195,9939,13.052533864974976,50.89429034272159,20
0.19,92,1,8761024.684654275,40,29,-1,-1,-1,-1,9259,10003,13.019853830337524,52.67450820849702,20
0.2,94,1,8459459.843610039,40,30,-1,-1,-1,-1,8926,9670,12.855255603790283,54.55226163349584,20
0.19,91,1,8163968.649938042,40,31,-1,-1,-1,-1,9434,10178,12.659741640090942,56.52675634296672,20
0.2,93,1,7875716.090675155,40,32,-1,-1,-1,-1,6173,6917,12.37610936164856,58.595645317009584,20
0.19,90,1,7595838.614223481,40,33,-1,-1,-1,-1,8815,9559,12.165186405181885,60.75466977438459,20
0.2,92,1,7325439.649852519,40,34,-1,-1,-1,-1,7626,8370,12.122069597244263,62.997265519204376,20
0.21,94,1,7065585.257380703,40,35,-1,-1,-1,-1,6938,7682,12.012431621551514,65.31414594206508,20
0.2,91,1,6817299.92418764,40,36,-1,-1,-1,-1,6840,7584,11.982113122940063,67.69288014296329,20
0.21,93,1,6581562.52612753,40,37,-1,-1,-1,-1,5480,6224,11.79668664932251,70.11749335126268,20
0.2,90,1,6359302.468268021,40,38,-1,-1,-1,-1,6098,6842,11.72421932220459,72.56812660970239,20
