pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.05,82,1,14990143.63996445,40,1,1,1.0,1.0
0.05,81,1,14960613.418991057,40,2,1,1.0,0.75
0.05,81,1,14911525.76127576,40,3,1,1.0,0.75
0.05,81,1,14843074.19706966,40,4,1,1.0,0.625
0.05,81,1,14755528.599677475,40,5,1,1.0,0.5714285714285714
0.05,80,1,14649234.12147018,40,6,1,1.0,0.625
0.05,80,1,14524609.833106572,40,7,1,1.0,0.6666666666666666
0.05,80,1,14382147.071328767,40,8,1,1.0,1.0
0.05,80,1,14222407.501845464,40,9,1,1.0,0.6
0.05,79,1,14046020.904940162,40,10,1,0.8,0.75
0.05,79,1,13853682.692534676,40,11,1,0.8,0.75
0.05,79,1,13646151.166497033,40,12,1,0.6666666666666666,0.6666666666666666
0.05,78,1,13424244.529002976,40,13,1,0.6666666666666666,0.6666666666666666
0.05,78,1,13188837.656737871,40,14,1,0.8333333333333334,0.7333333333333334
0.05,78,1,12940858.651656875,40,15,1,1.0,0.6666666666666666
0.05,77,1,12681285.18190212,40,16,1,1.0,0.625
0.05,77,1,12411140.62730304,40,17,1,1.0,0.625
0.05,76,1,12131490.044656344,40,18,1,1.0,0.8611111111111112
0.05,76,1,11843435.968692716,40,19,1,1.0,1.0
0.16,87,1,11548114.06528512,40,20,1,1.0,0.8402777777777778
0.06,64,1,11246688.654036107,40,21,1,0.625,0.7
0.17,89,1,10940348.117896523,40,22,1,0.6666666666666666,0.5833333333333334
0.18,92,1,10630300.217913445,40,23,1,0.8,0.5277777777777777
0.19,94,1,10317767.331579072,40,24,1,1.0,0.6309523809523809
0.19,94,1,10003981.633553667,40,25,1,0.8,0.5833333333333333
0.19,93,1,9690180.237762727,40,26,1,0.8,0.5833333333333333
0.19,93,1,9377600.320020882,40,27,1,0.8,0.5833333333333333
0.19,92,1,9067474.240411792,40,28,1,0.75,0.49999999999999994
0.19,92,1,8761024.684654275,40,29,1,1.0,0.7833333333333333
0.2,94,1,8459459.843610039,40,30,1,0.8,0.6666666666666666
0.19,91,1,8163968.649938042,40,31,1,1.0,0.75
0.2,93,1,7875716.090675155,40,32,1,1.0,0.7380952380952381
0.19,90,1,7595838.614223481,40,33,1,0.8333333333333334,0.6666666666666666
0.2,92,1,7325439.649852519,40,34,1,0.75,0.49999999999999994
0.21,94,1,7065585.257380703,40,35,1,0.8,0.5833333333333333
0.2,91,1,6817299.92418764,40,36,1,0.75,0.47916666666666663
0.21,93,1,6581562.52612753,40,37,1,1.0,0.6666666666666666
0.2,90,1,6359302.468268021,40,38,1,1.0,0.8333333333333333
0.21,92,1,6151396.020669828,40,39,1,0.5,0.41666666666666663
0.21,91,1,5958662.863653448,40,40,1,0.75,0.5
0.21,91,1,5781862.85617342,40,41,1,0.75,0.4666666666666666
0.2,88,1,5621693.040040943,40,42,1,0.8,0.475
0.21,90,1,5478784.891805871,40,43,1,0.8333333333333334,0.75
0.2,87,1,5353701.833132613,40,44,1,0.8333333333333334,0.75
0.22,92,1,5246937.009485423,40,45,1,0.5714285714285714,0.4166666666666667
0.21,89,1,5158911.345880695,40,46,1,0.7142857142857143,0.4611111111111111
0.22,91,1,5089971.887371576,40,47,1,0.75,0.5706349206349206
0.2,86,1,5040390.430807553,40,48,1,0.75,0.41666666666666663
0.2,86,1,5010362.453263421,40,49,1,0.8333333333333334,0.5119047619047619
0.2,86,1,5000006.341362302,40,50,1,0.75,0.41666666666666663
0.22,91,1,5009362.924531185,40,51,1,0.75,0.6416666666666666
0.2,86,1,5038395.314029104,40,52,1,1.0,0.7916666666666666
0.21,89,1,5086989.048382625,40,53,1,1.0,0.8333333333333333
0.21,89,1,5154952.544655244,40,54,1,0.625,0.5666666666666667
0.22,92,1,5242017.853771545,40,55,1,0.7142857142857143,0.6458333333333333
0.2,87,1,5347841.716918225,40,56,1,0.8571428571428571,0.7333333333333334
0.21,90,1,5472006.918857074,40,57,1,1.0,0.8541666666666666
0.22,93,1,5614023.9328144165,40,58,1,0.8571428571428571,0.7416666666666667
0.21,91,1,5773332.850461954,40,59,1,0.625,0.625
0.21,91,1,5949305.5893800035,40,60,1,0.8333333333333334,0.6916666666666667
0.21,92,1,6141248.369300079,40,61,1,0.8571428571428571,0.6666666666666666
0.2,90,1,6348404.447364134,40,62,1,0.5555555555555556,0.55
0.21,93,1,6569957.101616587,40,63,1,0.6666666666666666,0.6333333333333333
0.2,91,1,6805032.85096658,40,64,1,0.75,0.6666666666666666
0.08,62,1,7052704.898925625,40,65,1,0.8333333333333334,0.625
0.2,92,1,7311996.787543548,40,66,1,0.8333333333333334,0.5833333333333334
0.2,92,1,7581886.2471369505,40,67,1,0.8333333333333334,0.55
0.2,93,1,7861309.226632407,40,68,1,0.8571428571428571,0.6111111111111112
0.19,91,1,8149164.088634667,40,69,1,0.8333333333333334,0.5357142857142857
0.2,94,1,8444315.95268059,40,70,1,1.0,1.0
0.19,92,1,8745601.169555288,40,71,1,0.8333333333333334,0.5833333333333334
0.19,92,1,9051831.909030402,40,72,1,1.0,0.6041666666666666
0.07,62,1,9361800.842937043,40,73,1,1.0,0.8928571428571428
0.19,93,1,9674285.905110238,40,74,1,1.0,0.8492063492063493
0.05,75,1,9988055.109438593,40,75,1,0.7142857142857143,0.6666666666666666
0.05,75,1,10301871.40702373,40,76,1,0.75,0.6875
0.05,76,1,10614497.563300043,40,77,1,0.7142857142857143,0.6666666666666666
0.05,76,1,10924701.035886412,40,78,1,0.7,0.7083333333333333
0.05,77,1,11231258.833938807,40,79,1,0.8571428571428571,0.8083333333333333
0.05,77,1,11532962.339845499,40,80,1,0.5454545454545454,0.5892857142857143
0.05,78,1,11828622.074255204,40,81,1,0.75,0.75
0.18,94,1,12117072.385651782,40,82,1,0.625,0.5833333333333333
0.05,78,1,12397176.045986643,40,83,1,0.625,0.55
0.05,78,1,12667828.734250367,40,84,1,0.625,0.5416666666666666
0.05,79,1,12927963.390306907,40,85,1,0.4444444444444444,0.475
