pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.05,82,1,14990143.63996445,40,1,249.31765747070312,210.62025451660156,102.73462152481079,0.09916800260543823,235.21238708496094,52.14921569824219,0.1249919980764389,644.0742797851562
0.05,81,1,14960613.418991057,40,2,10.003104209899902,11.576064109802246,0.9721919745206833,0.0323840007185936,21.66092872619629,3.951551914215088,0.05843200162053108,39.706878662109375
0.05,81,1,14911525.76127576,40,3,10.016127586364746,12.329183578491211,0.5715839862823486,0.03081599995493889,23.113248825073242,4.198880195617676,0.05516799911856651,41.961246490478516
0.05,81,1,14843074.19706966,40,4,9.974528312683105,13.06719970703125,0.8913599848747253,0.03174399957060814,22.880128860473633,3.4280319213867188,0.05734400078654289,39.844703674316406
0.05,81,1,14755528.599677475,40,5,9.969056129455566,11.405983924865723,0.9004799872636795,0.03276799991726875,20.864416122436523,3.5383999347686768,0.05939200147986412,38.01679992675781
0.05,80,1,14649234.12147018,40,6,9.980128288269043,4.717984199523926,0.9022400230169296,0.029888000339269638,14.15340805053711,3.592319965362549,0.056095998734235764,31.357759475708008
0.05,80,1,14524609.833106572,40,7,9.95689582824707,4.688320159912109,0.9099519997835159,0.03174399957060814,15.483072280883789,3.2204160690307617,0.07782399654388428,32.287967681884766
0.05,80,1,14382147.071328767,40,8,9.99516773223877,4.527103900909424,0.9387200325727463,0.029664000496268272,14.22060775756836,3.7007360458374023,0.05567999929189682,31.58243179321289
0.05,80,1,14222407.501845464,40,9,9.994048118591309,4.531807899475098,0.9189440011978149,0.03136000037193298,14.48572826385498,3.7863359451293945,0.05798399820923805,31.948863983154297
0.05,79,1,14046020.904940162,40,10,9.974271774291992,4.580992221832275,0.9280319660902023,0.04851200059056282,13.804512023925781,3.2507519721984863,0.07475200295448303,30.659103393554688
0.05,79,1,13853682.692534676,40,11,9.970303535461426,4.640160083770752,0.7749760001897812,0.03232000023126602,15.522815704345703,3.8393280506134033,0.060127999633550644,33.61315155029297
0.05,79,1,13646151.166497033,40,12,9.972319602966309,4.607679843902588,0.999328002333641,0.05222399905323982,14.691904067993164,3.915424108505249,0.09728000313043594,32.311073303222656
0.05,78,1,13424244.529002976,40,13,9.9749755859375,4.4655680656433105,0.8899200111627579,0.02969600073993206,13.520959854125977,3.2190399169921875,0.055456001311540604,30.35875129699707
0.05,78,1,13188837.656737871,40,14,9.96787166595459,4.563680171966553,1.0319679975509644,0.029664000496268272,13.314528465270996,3.5782721042633057,0.05532800033688545,30.743295669555664
0.05,78,1,12940858.651656875,40,15,9.96339225769043,4.578815937042236,1.074496015906334,0.029952000826597214,13.555808067321777,3.5170559883117676,0.056095998734235764,30.909151077270508
0.05,77,1,12681285.18190212,40,16,9.97100830078125,4.550816059112549,0.9929599910974503,0.02969600073993206,14.457792282104492,3.1995201110839844,0.055296000093221664,31.404735565185547
0.05,77,1,12411140.62730304,40,17,9.93887996673584,4.537439823150635,0.9484800100326538,0.02969600073993206,13.97043228149414,3.6610560417175293,0.055296000093221664,31.24198341369629
0.05,76,1,12131490.044656344,40,18,10.005760192871094,4.731967926025391,0.889183983206749,0.03155200183391571,15.310720443725586,3.6786880493164062,0.05920000001788139,32.63603210449219
0.05,76,1,11843435.968692716,40,19,9.960224151611328,4.607872009277344,0.9287359863519669,0.029664000496268272,14.44275188446045,3.5960640907287598,0.05580800026655197,31.694175720214844
0.16,87,1,11548114.06528512,40,20,9.991488456726074,4.550943851470947,0.9091840237379074,0.02956799976527691,14.002816200256348,3.2146239280700684,0.05510399863123894,31.14828872680664
0.06,64,1,11246688.654036107,40,21,9.993535995483398,4.53059196472168,0.9022080153226852,0.02969600073993206,13.799103736877441,3.5041921138763428,0.08848000317811966,30.972095489501953
0.17,89,1,10940348.117896523,40,22,9.945728302001953,4.600287914276123,0.8697600066661835,0.03030399978160858,15.395392417907715,3.7641279697418213,0.055904000997543335,32.763328552246094
0.18,92,1,10630300.217913445,40,23,9.969504356384277,4.639967918395996,1.0240000188350677,0.02969600073993206,14.39686393737793,3.2816638946533203,0.055296000093221664,31.454303741455078
