pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.05,92,1,24980287.2799289,40,1,-1,-1,-1,-1,38398,39142,13.467377424240112,18.47387347852711,20
0.05,92,1,24921226.837982114,40,2,-1,-1,-1,-1,28669,29413,19.505306482315063,18.517654434384706,20
0.05,92,1,24823051.52255152,40,3,-1,-1,-1,-1,27481,28225,23.76758337020874,18.59089186707822,20
0.05,92,1,24686148.39413932,40,4,-1,-1,-1,-1,19647,20391,23.742501735687256,18.69399224612237,20
0.05,92,1,24511057.19935495,40,5,-1,-1,-1,-1,10792,11536,22.784838676452637,18.827530078091094,20
0.05,92,1,24298468.24294036,40,6,-1,-1,-1,-1,14339,15083,22.556328773498535,18.99225342324799,20
0.05,92,1,24049219.666213144,40,7,-1,-1,-1,-1,16655,17399,22.552855014801025,19.18909108369141,20
0.05,92,1,23764294.142657533,40,8,-1,-1,-1,-1,19891,20635,23.64856243133545,19.41916153269173,20
0.05,92,1,23444815.00369093,40,9,-1,-1,-1,-1,17369,18113,23.285138607025146,19.68378366790334,20
0.05,92,1,23092041.809880324,40,10,-1,-1,-1,-1,18435,19179,23.21965456008911,19.98448948196575,20
0.05,91,1,22707365.38506935,40,11,-1,-1,-1,-1,14439,15183,22.890441417694092,20.323038751563086,20
0.05,91,1,22292302.332994066,40,12,-1,-1,-1,-1,17961,18705,23.005499839782715,20.701435848716358,20
0.05,91,1,21848489.05800595,40,13,-1,-1,-1,-1,20076,20820,23.337697982788086,21.121948773732957,20
0.05,90,1,21377675.313475743,40,14,-1,-1,-1,-1,11097,11841,22.516283988952637,21.58713049476264,20
0.05,90,1,20881717.30331375,40,15,-1,-1,-1,-1,11743,12487,21.41582489013672,22.09984265007904,20
0.05,90,1,20362570.36380424,40,16,-1,-1,-1,-1,15980,16724,21.320242881774902,22.66328162023108,20
0.05,89,1,19822281.25460608,40,17,-1,-1,-1,-1,15375,16119,21.780409812927246,23.281006900224085,20
0.05,88,1,19262980.089312688,40,18,-1,-1,-1,-1,17285,18029,21.23757839202881,23.956971586276122,20
0.05,88,1,18686871.937385432,40,19,-1,-1,-1,-1,14456,15200,20.970158576965332,24.695554623211855,20
0.05,87,1,18096228.13057024,40,20,-1,-1,-1,-1,7769,8513,20.042643547058105,25.501594218249092,20
0.05,86,1,17493377.308072213,40,21,-1,-1,-1,-1,12177,12921,20.289344787597656,26.38042148977821,20
0.05,85,1,16880696.235793047,40,22,-1,-1,-1,-1,10514,11258,19.834630489349365,27.33789295302644,20
0.05,84,1,16260600.435826892,40,23,-1,-1,-1,-1,8284,9028,19.191243648529053,28.380419806016786,20
0.05,83,1,15635534.663158145,40,24,-1,-1,-1,-1,6248,6992,18.229042291641235,29.51499111533766,20
0.05,81,1,15007963.267107332,40,25,-1,-1,-1,-1,10432,11176,18.95267963409424,30.749186845232316,20
0.05,80,1,14380360.475525454,40,26,-1,-1,-1,-1,6417,7161,18.298423290252686,32.091175144884836,20
0.05,79,1,13755200.640041763,40,27,-1,-1,-1,-1,7728,8472,18.043227195739746,33.5496863145186,20
0.05,78,1,13134948.480823584,40,28,-1,-1,-1,-1,6410,7154,17.375388145446777,35.13395331092543,20
0.05,76,1,12522049.369308548,40,29,-1,-1,-1,-1,9317,10061,18.07984471321106,36.85360543281016,20
0.05,74,1,11918919.687220076,40,30,-1,-1,-1,-1,8457,9201,17.720158100128174,38.71849788210975,20
0.05,72,1,11327937.299876085,40,31,-1,-1,-1,-1,8063,8807,17.179722785949707,40.7384552412481,20
0.18,91,1,10751432.18135031,40,32,-1,-1,-1,-1,10488,11232,16.414813995361328,42.92290170114875,20
0.18,91,1,10191677.228446962,40,33,-1,-1,-1,-1,12720,13464,15.73833703994751,45.28034555279856,20
0.18,90,1,9650879.299705038,40,34,-1,-1,-1,-1,12167,12911,15.627400875091553,47.817680890566216,20
0.19,92,1,9131170.514761407,40,35,-1,-1,-1,-1,9051,9795,15.365122556686401,50.53926721887802,20
0.19,91,1,8634599.84837528,40,36,-1,-1,-1,-1,9008,9752,15.052995681762695,53.445750210822,20
0.2,93,1,8163125.0522550605,40,37,-1,-1,-1,-1,9478,10222,14.68113899230957,56.53259795881508,20
0.2,93,1,7718604.936536042,40,38,-1,-1,-1,-1,7249,7993,14.318190813064575,59.78835171136134,20
0.2,92,1,7302792.041339656,40,39,-1,-1,-1,-1,7224,7968,14.113681316375732,63.19263427663076,20
