pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.05,83,1,24980287.2799289,20,1,1,1.0,1.0
0.05,82,1,24921226.837982114,20,2,1,1.0,0.75
0.05,82,1,24823051.52255152,20,3,1,1.0,0.75
0.05,82,1,24686148.39413932,20,4,1,1.0,0.625
0.05,82,1,24511057.19935495,20,5,1,1.0,0.5625
0.05,82,1,24298468.24294036,20,6,1,1.0,0.6666666666666666
0.05,82,1,24049219.666213144,20,7,1,1.0,0.6666666666666666
0.05,82,1,23764294.142657533,20,8,1,1.0,1.0
0.05,82,1,23444815.00369093,20,9,1,1.0,0.625
0.05,82,1,23092041.809880324,20,10,1,0.8,0.75
0.05,82,1,22707365.38506935,20,11,1,0.8,0.75
0.05,82,1,22292302.332994066,20,12,1,0.6666666666666666,0.6666666666666666
0.05,82,1,21848489.05800595,20,13,1,0.8333333333333334,0.75
0.05,82,1,21377675.313475743,20,14,1,0.8333333333333334,0.7333333333333334
0.05,82,1,20881717.30331375,20,15,1,1.0,0.6666666666666666
0.05,82,1,20362570.36380424,20,16,1,1.0,0.625
0.06,78,1,19822281.25460608,20,17,1,1.0,0.6666666666666666
0.05,82,1,19262980.089312688,20,18,1,1.0,0.8611111111111112
0.05,82,1,18686871.937385432,20,19,1,1.0,1.0
0.05,82,1,18096228.13057024,20,20,1,0.8333333333333334,0.7777777777777778
0.05,82,1,17493377.308072213,20,21,1,0.75,0.75
0.05,82,1,16880696.235793047,20,22,1,0.8333333333333334,0.7333333333333334
0.05,82,1,16260600.435826892,20,23,1,0.8,0.5666666666666667
0.05,82,1,15635534.663158145,20,24,1,1.0,0.7166666666666666
0.05,81,1,15007963.267107332,20,25,1,0.8,0.5833333333333333
0.05,80,1,14380360.475525454,20,26,1,0.8,0.5833333333333333
0.05,79,1,13755200.640041763,20,27,1,1.0,0.7166666666666666
0.05,78,1,13134948.480823584,20,28,1,1.0,0.7666666666666666
0.05,71,1,12522049.369308548,20,29,1,1.0,0.7833333333333333
0.17,90,1,11918919.687220076,20,30,1,1.0,0.7833333333333333
0.18,93,1,11327937.299876085,20,31,1,0.8,0.6666666666666666
0.05,60,1,10751432.18135031,20,32,1,0.8,0.6666666666666666
0.05,60,1,10191677.228446962,20,33,1,0.6666666666666666,0.5833333333333334
0.19,93,1,9650879.299705038,20,34,1,1.0,0.5833333333333333
0.07,62,1,9131170.514761407,20,35,1,0.8,0.5499999999999999
0.19,92,1,8634599.84837528,20,36,1,0.75,0.47916666666666663
0.19,91,1,8163125.0522550605,20,37,1,1.0,0.5416666666666666
0.2,93,1,7718604.936536042,20,38,1,1.0,0.8333333333333333
0.08,62,1,7302792.041339656,20,39,1,0.5,0.41666666666666663
0.2,91,1,6917325.727306897,20,40,1,0.75,0.5
0.21,93,1,6563725.712346841,20,41,1,0.5,0.41666666666666663
0.21,92,1,6243386.080081886,20,42,1,0.6,0.375
0.21,91,1,5957569.783611743,20,43,1,0.8333333333333334,0.7333333333333334
0.2,88,1,5707403.666265227,20,44,1,0.8333333333333334,0.75
0.21,90,1,5493874.018970845,20,45,1,0.7142857142857143,0.5555555555555556
0.2,87,1,5317822.691761389,20,46,1,0.5714285714285714,0.44791666666666663
0.21,89,1,5179943.774743153,20,47,1,0.5,0.5166666666666666
0.21,89,1,5080780.861615106,20,48,1,0.75,0.41666666666666663
0.2,86,1,5020724.906526841,20,49,1,0.6666666666666666,0.4583333333333333
0.2,86,1,5000012.682724604,20,50,1,0.75,0.41666666666666663
0.22,91,1,5018725.84906237,20,51,1,0.75,0.6044444444444445
0.21,89,1,5076790.628058208,20,52,1,1.0,0.7944444444444444
0.21,89,1,5173978.09676525,20,53,1,1.0,0.7388888888888889
0.2,87,1,5309905.089310488,20,54,1,0.75,0.6277777777777778
0.21,90,1,5484035.70754309,20,55,1,0.8571428571428571,0.609920634920635
0.21,91,1,5695683.433836451,20,56,1,0.8571428571428571,0.7166666666666667
0.21,91,1,5944013.837714149,20,57,1,0.8571428571428571,0.7
0.21,92,1,6228047.865628833,20,58,1,0.8571428571428571,0.7166666666666667
0.21,93,1,6546665.7009239085,20,59,1,0.75,0.6533333333333333
0.2,91,1,6898611.178760007,20,60,1,1.0,0.6833333333333333
0.08,62,1,7282496.738600158,20,61,1,0.8571428571428571,0.6333333333333333
0.2,93,1,7696808.894728268,20,62,1,0.7777777777777778,0.65
0.19,91,1,8139914.203233173,20,63,1,0.7777777777777778,0.65
0.19,92,1,8610065.70193316,20,64,1,0.875,0.6875
0.06,61,1,9105409.79785125,20,65,1,1.0,0.6666666666666666
0.19,93,1,9623993.575087097,20,66,1,0.8333333333333334,0.55
0.19,94,1,10163772.494273901,20,67,1,0.8333333333333334,0.55
0.18,92,1,10722618.453264814,20,68,1,0.8571428571428571,0.6031746031746031
0.05,74,1,11298328.177269334,20,69,1,0.6666666666666666,0.5
0.18,94,1,11888631.905361177,20,70,1,1.0,1.0
0.05,77,1,12491202.339110576,20,71,1,0.8333333333333334,0.75
0.05,78,1,13103663.818060804,20,72,1,0.8,0.5416666666666666
0.05,79,1,13723601.685874086,20,73,1,1.0,0.875
0.05,80,1,14348571.810220476,20,74,1,0.8571428571428571,0.8333333333333333
0.05,81,1,14976110.218877185,20,75,1,0.7142857142857143,0.5892857142857143
0.05,82,1,15603742.81404746,20,76,1,0.75,0.6875
0.05,82,1,16228995.126600085,20,77,1,0.7142857142857143,0.6666666666666666
0.05,82,1,16849402.071772825,20,78,1,0.7,0.7291666666666666
0.05,82,1,17462517.667877614,20,79,1,1.0,0.9583333333333333
0.05,82,1,18065924.679690998,20,80,1,0.5454545454545454,0.5714285714285714
0.05,82,1,18657244.148510408,20,81,1,0.75,0.71875
0.05,82,1,19234144.771303564,20,82,1,0.625,0.55
0.05,82,1,19794352.091973286,20,83,1,0.625,0.5625
0.05,82,1,20335657.468500733,20,84,1,0.625,0.55
0.05,82,1,20855926.780613814,20,85,1,0.5555555555555556,0.465
0.05,82,1,21353108.843650274,20,86,1,0.7,0.6833333333333333
0.05,82,1,21825243.495443508,20,87,1,0.5555555555555556,0.4369047619047619
0.05,82,1,22270469.324348185,20,88,1,0.6666666666666666,0.595
0.05,82,1,22687031.00793758,20,89,1,0.6666666666666666,0.635
0.05,82,1,23073286.233439505,20,90,1,0.6666666666666666,0.575
0.05,82,1,23427712.172626697,20,91,1,0.5555555555555556,0.44166666666666665
0.05,82,1,23748911.485634133,20,92,1,0.625,0.4464285714285714
0.05,82,1,24035617.830032934,20,93,1,0.7142857142857143,0.5138888888888888
0.05,82,1,24286700.853441153,20,94,1,0.7142857142857143,0.6083333333333334
0.05,82,1,24501170.649987787,20,95,1,0.6666666666666666,0.4375
0.05,82,1,24678181.663060226,20,96,1,0.7142857142857143,0.625
0.05,82,1,24817036.01894843,20,97,1,0.75,0.71875
0.05,82,1,24917186.278242745,20,98,1,0.75,0.6875
0.05,82,1,24978237.594137866,20,99,1,0.625,0.55
0.05,82,1,24999949.269133754,20,100,1,0.7142857142857143,0.5416666666666666
0.05,82,1,24982235.703996107,20,101,1,0.75,0.55
0.05,82,1,24925166.735235136,20,102,1,0.6666666666666666,0.5125000000000001
0.05,82,1,24828967.359772027,20,103,1,0.6666666666666666,0.525
0.05,82,1,24694016.84787868,20,104,1,0.625,0.5666666666666667
0.05,82,1,24520847.24788798,20,105,1,0.7142857142857143,0.65
0.05,82,1,24310141.28856981,20,106,1,0.7142857142857143,0.65
0.05,82,1,24062729.687442847,20,107,1,0.6666666666666666,0.5625
0.05,82,1,23779587.87563416,20,108,1,0.625,0.4555555555555556
0.05,82,1,23461832.152199067,20,109,1,0.4444444444444444,0.4
0.05,82,1,23110715.283062987,20,110,1,0.625,0.4416666666666667
0.05,82,1,22727621.561936628,20,111,1,0.6666666666666666,0.5125000000000001
0.05,82,1,22314061.35267709,20,112,1,0.6666666666666666,0.65
0.05,82,1,21871665.13461192,20,113,1,0.625,0.48333333333333334
0.05,82,1,21402177.07430256,20,114,1,0.75,0.640625
0.05,82,1,20907448.149090927,20,115,1,0.8571428571428571,0.7333333333333334
0.05,82,1,20389428.849539775,20,116,1,0.8571428571428571,0.6000000000000001
0.05,82,1,19850161.489537805,20,117,1,0.6,0.6000000000000001
0.05,82,1,19291772.154387258,20,118,1,0.7142857142857143,0.4625
0.05,82,1,18716462.31861903,20,119,1,0.6363636363636364,0.6166666666666667
0.05,82,1,18126500.166582465,20,120,1,0.7777777777777778,0.65
0.05,82,1,17524211.650028676,20,121,1,0.7142857142857143,0.525
0.05,82,1,16911971.31794344,20,122,1,0.7777777777777778,0.6833333333333333
0.05,82,1,16292192.954783283,20,123,1,0.6666666666666666,0.65
0.05,82,1,15667320.06402403,20,124,1,0.75,0.7333333333333334
0.05,81,1,15039816.234540788,20,125,1,0.625,0.48333333333333334
0.05,80,1,14412155.427800389,20,126,1,0.625,0.48333333333333334
0.05,79,1,13786812.224159418,20,127,1,0.7142857142857143,0.525
0.05,78,1,13166252.066722194,20,128,1,0.8333333333333334,0.65
0.05,77,1,12552921.541222919,20,129,1,0.5555555555555556,0.525
0.06,76,1,11949238.730253607,20,130,1,0.625,0.5666666666666667
0.19,95,1,11357583.679867167,20,131,1,0.8333333333333334,0.65
0.18,92,1,10780289.016140964,20,132,1,0.7142857142857143,0.48333333333333334
0.19,94,1,10219630.748695897,20,133,1,0.8333333333333334,0.9
0.19,93,1,9677819.297428336,20,134,1,0.8333333333333334,0.9
0.19,93,1,9156990.777832285,20,135,1,0.75,0.5666666666666667
0.19,92,1,8659198.57927014,20,136,1,0.7142857142857143,0.65
0.07,61,1,8186405.269394652,20,137,1,0.7142857142857143,0.65
0.2,93,1,7740474.856639634,20,138,1,0.7142857142857143,0.65
0.2,92,1,7323165.441284642,20,139,1,0.7142857142857143,0.65
0.2,91,1,6936122.284067283,20,140,1,0.7142857142857143,0.65
0.21,93,1,6580871.319670279,20,141,1,0.7142857142857143,0.65
0.21,92,1,6258813.140656849,20,142,1,0.7142857142857143,0.65
0.21,91,1,5971217.475572914,20,143,1,0.8333333333333334,0.9
0.21,91,1,5719218.182986345,20,144,1,0.7142857142857143,0.65
0.21,90,1,5503808.7811997365,20,145,1,0.8333333333333334,0.9
0.22,92,1,5325838.531260695,20,146,1,0.7142857142857143,0.4416666666666667
