pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0.05,83,1,24980287.2799289,20,1,254.95904541015625,5.013472080230713,100.0046716928482,0.02953599952161312,17.795551300048828,52.43977737426758,0.05689600110054016,429.9390869140625
0.05,82,1,24921226.837982114,20,2,9.937376022338867,4.525887966156006,1.0004800111055374,0.03142400085926056,16.1560001373291,3.5868160724639893,0.061184000223875046,33.66463851928711
0.05,82,1,24823051.52255152,20,3,10.002495765686035,4.6899518966674805,0.9616319984197617,0.027936000376939774,14.777503967285156,4.075232028961182,0.05427199974656105,32.86115264892578
0.05,82,1,24686148.39413932,20,4,9.984000205993652,4.596479892730713,0.9685760140419006,0.02969600073993206,14.196127891540527,3.8468480110168457,0.05632000043988228,31.732511520385742
0.05,82,1,24511057.19935495,20,5,9.963456153869629,4.636544227600098,0.9593920111656189,0.031072000041604042,15.458399772644043,3.1870079040527344,0.060416001826524734,32.45430374145508
0.05,82,1,24298468.24294036,20,6,9.954527854919434,4.482367992401123,0.6952000260353088,0.05923200026154518,14.91260814666748,3.671679973602295,0.1042879968881607,32.48384094238281
0.05,82,1,24049219.666213144,20,7,9.961471557617188,4.738560199737549,0.9608319997787476,0.04508800059556961,15.167840003967285,3.7324159145355225,0.07292799651622772,32.52547073364258
0.05,82,1,23764294.142657533,20,8,9.988800048828125,4.680255889892578,1.0707840025424957,0.0289280004799366,14.432255744934082,3.3650240898132324,0.05632000043988228,31.625152587890625
0.05,82,1,23444815.00369093,20,9,9.950271606445312,4.593183994293213,0.987903967499733,0.04630399867892265,14.949151992797852,3.6627519130706787,0.07295999675989151,32.27056121826172
0.05,82,1,23092041.809880324,20,10,9.969663619995117,4.604800224304199,0.9392319768667221,0.029120000079274178,14.607616424560547,3.8120639324188232,0.05558399856090546,32.07468795776367
0.05,82,1,22707365.38506935,20,11,9.956416130065918,4.603231906890869,1.004415974020958,0.03174399957060814,14.94320011138916,3.387455940246582,0.06054399907588959,32.115840911865234
0.05,82,1,22292302.332994066,20,12,9.960576057434082,4.728608131408691,0.9848959892988205,0.028831999748945236,14.82316780090332,3.8064639568328857,0.055296000093221664,32.387935638427734
