pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0,100,1,34970430.91989335,40,1,-1,0.5,0.5
0,90,1,34881840.25697317,40,2,-1,1.0,0.6666666666666666
0,80,1,34734577.28382728,40,3,-1,1.0,0.6666666666666666
0,70,1,34529222.59120898,40,4,-1,0.8,0.625
0,60,1,34266585.79903243,40,5,-1,0.6,0.5833333333333333
0,50,1,33947702.364410535,40,6,-1,0.6,0.75
0.05,100,1,33573829.49931972,40,7,-1,0.6666666666666666,0.59375
0.05,90,1,33146441.213986304,40,8,-1,0.6666666666666666,0.59375
0.05,80,1,32667222.505536392,40,9,-1,0.8333333333333334,0.6770833333333333
0.05,70,1,32138062.71482048,40,10,-1,0.6666666666666666,0.625
0.05,60,1,31561048.077604026,40,11,-1,0.8,0.875
0.05,50,1,30938453.499491103,40,12,-1,0.8,0.84375
0.1,100,1,30272733.58700893,40,13,-1,0.8,0.875
0.1,90,1,29566512.970213614,40,14,-1,0.8,0.84375
0.1,80,1,28822575.954970628,40,15,-1,1.0,0.75
0.1,70,1,28043855.54570636,40,16,-1,0.6,0.3888888888888889
0.1,60,1,27233421.88190912,40,17,-1,0.6666666666666666,0.575
0.1,50,1,26394470.13396903,40,18,-1,0.6666666666666666,0.45
0.15,100,1,25530307.90607815,40,19,-1,1.0,0.5595238095238095
0.15,90,1,24644342.19585536,40,20,-1,1.0,0.5595238095238095
0.15,80,1,23740065.962108318,40,21,-1,1.0,0.49999999999999994
0.15,70,1,22821044.35368957,40,22,-1,1.0,0.7261904761904762
0.15,60,1,21890900.65374034,40,23,-1,0.8,0.4722222222222222
0.15,50,1,20953301.994737215,40,24,-1,1.0,0.5833333333333333
0.2,100,1,20011944.900661,40,25,-1,1.0,0.7261904761904762
0.2,90,1,19070540.71328818,40,26,-1,1.0,0.7666666666666666
0.2,80,1,18132800.960062645,40,27,-1,0.8333333333333334,0.725
0.2,70,1,17202422.721235376,40,28,-1,0.8333333333333334,0.6111111111111112
0.2,60,1,16283074.053962823,40,29,-1,0.8333333333333334,0.5555555555555556
0.2,50,1,15378379.530830115,40,30,-1,0.8333333333333334,0.5347222222222222
