pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
100,0,1,34970430.91989335,20,1,-1,-1,-1,-1,76680,77424,24.558444023132324,15.835641295600281,30
90,0,1,34881840.25697317,20,2,-1,-1,-1,-1,7060,7804,21.710505485534668,15.87585964273473,30
80,0,1,34734577.28382728,20,3,-1,-1,-1,-1,3695,4439,17.813875675201416,15.943167969913492,30
70,0,1,34529222.59120898,20,4,-1,-1,-1,-1,3922,4666,16.082438230514526,16.03798633279946,30
60,0,1,34266585.79903243,20,5,-1,-1,-1,-1,3160,3904,14.284831285476685,16.160909734276384,30
50,0,1,33947702.364410535,20,6,-1,-1,-1,-1,2741,3485,13.084499835968018,16.312715189248294,30
100,0.05,1,33573829.49931972,20,7,-1,-1,-1,-1,41694,42438,24.114489555358887,16.494371010349617,30
90,0.05,1,33146441.213986304,20,8,-1,-1,-1,-1,6575,7319,20.211734771728516,16.707048470902816,30
80,0.05,1,32667222.505536392,20,9,-1,-1,-1,-1,3512,4256,16.819242238998413,16.95213604113868,30
70,0.05,1,32138062.71482048,20,10,-1,-1,-1,-1,3521,4265,15.25073766708374,17.231256436145557,30
60,0.05,1,31561048.077604026,20,11,-1,-1,-1,-1,2855,3599,13.283734321594238,17.546286759499793,30
50,0.05,1,30938453.499491103,20,12,-1,-1,-1,-1,2577,3321,12.373554706573486,17.899382075096575,30
100,0.1,1,30272733.58700893,20,13,-1,-1,-1,-1,39309,40053,16.733505725860596,18.29300279105438,30
90,0.1,1,29566512.970213614,20,14,-1,-1,-1,-1,7404,8148,16.903057098388672,18.72994629288538,30
80,0.1,1,28822575.954970628,20,15,-1,-1,-1,-1,4689,5433,15.511105060577393,19.21338331678496,30
70,0.1,1,28043855.54570636,20,16,-1,-1,-1,-1,3923,4667,13.956491947174072,19.746899605064684,30
60,0.1,1,27233421.88190912,20,17,-1,-1,-1,-1,3140,3884,12.570210695266724,20.3345434298093,30
50,0.1,1,26394470.13396903,20,18,-1,-1,-1,-1,2239,2983,11.131397485733032,20.980879600507677,30
100,0.15,1,25530307.90607815,20,19,-1,-1,-1,-1,38456,39200,12.780903577804565,21.691050575545884,30
90,0.15,1,24644342.19585536,20,20,-1,-1,-1,-1,8849,9593,12.67979621887207,22.47084525928769,30
80,0.15,1,23740065.962108318,20,21,-1,-1,-1,-1,4837,5581,11.91158652305603,23.32677596110688,30
70,0.15,1,22821044.35368957,20,22,-1,-1,-1,-1,3471,4215,10.98694920539856,24.26616378362493,30
60,0.15,1,21890900.65374034,20,23,-1,-1,-1,-1,2745,3489,9.93637502193451,25.29723234139203,30
50,0.15,1,20953301.994737215,20,24,-1,-1,-1,-1,2606,3350,9.083395004272461,26.42920911172336,30
100,0.2,1,20011944.900661,20,25,-1,-1,-1,-1,27144,27888,9.36189889907837,27.672432776971544,30
