pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0,100,1,34970430.91989335,20,1,251.63900756835938,4.46998405456543,100.38198781013489,0.03167999908328056,17.190879821777344,53.46403121948242,0.0594559982419014,427.7363586425781
0,90,1,34881840.25697317,20,2,9.900447845458984,4.498112201690674,0.9840959906578064,0.06809599697589874,14.612159729003906,3.27839994430542,0.09625600278377533,32.51603317260742
0,80,1,34734577.28382728,20,3,9.916895866394043,4.619647979736328,1.3559679985046387,0.040800001472234726,14.338047981262207,2.9610559940338135,0.08585599809885025,32.11548614501953
0,70,1,34529222.59120898,20,4,9.890656471252441,4.761600017547607,2.5117440223693848,0.029279999434947968,15.634079933166504,3.6325759887695312,0.05503999814391136,35.94063949584961
0,60,1,34266585.79903243,20,5,9.864895820617676,4.552159786224365,1.1125440150499344,0.035999998450279236,14.469056129455566,2.938368082046509,0.06281600147485733,31.99977684020996
0,50,1,33947702.364410535,20,6,9.898079872131348,4.518655776977539,1.1827519834041595,0.03014400042593479,15.331904411315918,3.086047887802124,0.05734400078654289,32.946014404296875
0.05,100,1,33573829.49931972,20,7,9.894207954406738,4.611839771270752,1.2144320160150528,0.04275200143456459,17.461503982543945,6.120736122131348,0.11238399893045425,38.37897491455078
0.05,90,1,33146441.213986304,20,8,9.930272102355957,4.490784168243408,1.9974400401115417,0.029632000252604485,15.870176315307617,4.014400005340576,0.055296000093221664,36.72972869873047
0.05,80,1,32667222.505536392,20,9,9.926207542419434,4.746335983276367,1.4260800033807755,0.029472000896930695,16.202655792236328,4.763008117675781,0.055296000093221664,37.546688079833984
0.05,70,1,32138062.71482048,20,10,9.917759895324707,4.570655822753906,1.2183680534362793,0.029983999207615852,16.397567749023438,3.7927680015563965,0.05632000043988228,35.10240173339844
0.05,60,1,31561048.077604026,20,11,9.893216133117676,4.524256229400635,1.5072320401668549,0.031039999797940254,15.049087524414062,3.5728321075439453,0.058368001133203506,33.857505798339844
0.05,50,1,30938453.499491103,20,12,9.922752380371094,4.602047920227051,1.309183955192566,0.029664000496268272,15.67728042602539,4.398015975952148,0.05612799897789955,35.667808532714844
0.1,100,1,30272733.58700893,20,13,9.94540786743164,4.5294718742370605,1.0146240144968033,0.028672000393271446,17.762975692749023,5.773183822631836,0.05427199974656105,39.2303352355957
0.1,90,1,29566512.970213614,20,14,9.964768409729004,4.853024005889893,1.403776004910469,0.029791999608278275,19.33558464050293,4.310080051422119,0.06976000219583511,39.91062545776367
0.1,80,1,28822575.954970628,20,15,9.909855842590332,4.495808124542236,1.2291840314865112,0.02879999950528145,16.11008071899414,4.035552024841309,0.05632000043988228,35.19132614135742
0.1,70,1,28043855.54570636,20,16,9.983648300170898,4.492000102996826,1.264128029346466,0.04483199864625931,16.39308738708496,3.83516788482666,0.07184000313282013,35.57670211791992
0.1,60,1,27233421.88190912,20,17,9.906304359436035,4.5563201904296875,1.380095973610878,0.029759999364614487,16.210784912109375,3.9463040828704834,0.05612799897789955,35.633663177490234
0.1,50,1,26394470.13396903,20,18,9.917792320251465,4.691840171813965,1.5353280156850815,0.03001599945127964,16.673728942871094,3.829888105392456,0.0562559999525547,37.864864349365234
0.15,100,1,25530307.90607815,20,19,9.946144104003906,4.50713586807251,1.438879981637001,0.029311999678611755,16.021408081054688,4.612192153930664,0.05593600124120712,35.92300796508789
0.15,90,1,24644342.19585536,20,20,9.906496047973633,4.7626237869262695,1.1687360107898712,0.05987200140953064,17.525375366210938,3.7970240116119385,0.08934400230646133,35.96361541748047
0.15,80,1,23740065.962108318,20,21,9.902048110961914,4.551008224487305,1.379872053861618,0.029632000252604485,15.372544288635254,3.6065280437469482,0.05641600117087364,34.33168029785156
0.15,70,1,22821044.35368957,20,22,9.944160461425781,4.532256126403809,1.000671997666359,0.044704001396894455,14.48969554901123,3.5489280223846436,0.09279999881982803,33.472896575927734
0.15,60,1,21890900.65374034,20,23,9.955679893493652,4.532735824584961,1.2479680180549622,0.02908799983561039,15.583840370178223,3.3908159732818604,0.05632000043988228,33.72480010986328
0.15,50,1,20953301.994737215,20,24,9.923551559448242,4.648640155792236,1.205407977104187,0.028543999418616295,16.06755256652832,3.425920009613037,0.05488000065088272,33.94707107543945
0.2,100,1,20011944.900661,20,25,9.92796802520752,4.528736114501953,1.2680640332400799,0.08601599931716919,15.593152046203613,4.95747184753418,0.13014400005340576,37.28131103515625
0.2,90,1,19070540.71328818,20,26,9.911904335021973,4.6638078689575195,1.8241600394248962,0.030719999223947525,15.993727684020996,3.962496042251587,0.057792000472545624,36.173919677734375
0.2,80,1,18132800.960062645,20,27,9.907648086547852,4.627776145935059,1.208960011601448,0.02969600073993206,16.768991470336914,3.7888638973236084,0.07577600330114365,35.3873291015625
0.2,70,1,17202422.721235376,20,28,9.960224151611328,4.675583839416504,1.1882559955120087,0.031647998839616776,17.327327728271484,3.5308799743652344,0.05913599953055382,35.714271545410156
0.2,60,1,16283074.053962823,20,29,9.916768074035645,4.593279838562012,1.4676480144262314,0.028672000393271446,15.889535903930664,3.7374720573425293,0.05427199974656105,35.29100799560547
0.2,50,1,15378379.530830115,20,30,9.901056289672852,4.667488098144531,1.4397119879722595,0.02969600073993206,16.337888717651367,3.7964160442352295,0.056832000613212585,36.33910369873047
0.25,100,1,14491905.949814126,20,31,9.911999702453613,4.693568229675293,1.246879979968071,0.0307839997112751,17.74323272705078,4.404928207397461,0.05936000123620033,36.84572982788086
0.25,90,1,13627148.272025462,20,32,9.93734359741211,4.677440166473389,1.1607359796762466,0.028704000636935234,17.015615463256836,3.679680109024048,0.0544000007212162,35.48329544067383
0.25,80,1,12787515.842670444,20,33,9.97868824005127,4.562431812286377,1.4923200160264969,0.03174399957060814,16.170528411865234,3.5659520626068115,0.05987200140953064,35.54636764526367
0.25,70,1,11976318.949557556,20,34,9.967455863952637,4.559999942779541,1.5145599693059921,0.03139200061559677,16.025407791137695,3.5721919536590576,0.05897599831223488,35.77203369140625
0.25,60,1,11196755.77214211,20,35,9.925439834594727,4.49286413192749,1.21676804125309,0.029823999851942062,15.701472282409668,3.6570239067077637,0.05580800026655197,34.191680908203125
0.25,50,1,10451899.77256292,20,36,9.882911682128906,4.603744029998779,1.3665600568056107,0.028960000723600388,15.774016380310059,3.4753599166870117,0.08191999793052673,34.30646514892578
0.35,100,1,9744687.57838259,20,37,9.91708755493164,4.5280961990356445,2.0049920678138733,0.02969600073993206,14.185919761657715,3.1353919506073,0.05539200082421303,33.975425720214844
0.35,90,1,9077907.404804064,20,38,9.89078426361084,4.660096168518066,1.4003840386867523,0.029632000252604485,15.145503997802734,4.0796799659729,0.055424001067876816,34.40777587890625
0.35,80,1,8454188.062009484,20,39,9.901984214782715,4.63427209854126,1.1659520119428635,0.07254400104284286,15.979519844055176,3.239743947982788,0.1401280015707016,33.7938232421875
0.35,70,1,7875988.590960344,20,40,9.940032005310059,4.533023834228516,1.0844160169363022,0.02969600073993206,15.544351577758789,3.4242560863494873,0.05596800148487091,33.68230438232422
0.35,60,1,7345588.568520261,20,41,9.910880088806152,4.56547212600708,1.363487958908081,0.028704000636935234,15.528575897216797,3.3952319622039795,0.09830400347709656,34.41987228393555
0.35,50,1,6865079.120122829,20,42,9.924575805664062,4.531839847564697,1.3653760254383087,0.0289280004799366,15.650848388671875,3.3956480026245117,0.05452800169587135,35.09811019897461
0,100,1,6436354.675417615,20,43,9.896160125732422,4.548992156982422,1.3242560476064682,0.06892800331115723,16.081344604492188,5.1539201736450195,0.09827200323343277,36.05583953857422
0,90,1,6061105.49939784,20,44,9.916192054748535,4.4785919189453125,1.1414080113172531,0.02908799983561039,16.043359756469727,3.6031360626220703,0.055296000093221664,34.28236770629883
0,80,1,5740811.028456267,20,45,9.91494369506836,5.866208076477051,1.321695938706398,0.0578560009598732,19.288639068603516,3.250432014465332,0.11212799698114395,38.26118469238281
0,70,1,5476734.037642086,20,46,9.90719985961914,4.480576038360596,1.3899519443511963,0.03062400035560131,16.216960906982422,3.3867199420928955,0.057151999324560165,36.39334487915039
