pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0,100,1,34970430.91989335,45,1,-1,0.5,0.5
0,90,1,34881840.25697317,45,2,-1,1.0,0.6666666666666666
0,80,1,34734577.28382728,45,3,-1,1.0,0.6666666666666666
0,70,1,34529222.59120898,45,4,-1,0.8,0.625
0,60,1,34266585.79903243,45,5,-1,0.6,0.5833333333333333
0,50,1,33947702.364410535,45,6,-1,0.6,0.75
0.05,100,1,33573829.49931972,45,7,-1,0.6666666666666666,0.59375
0.05,90,1,33146441.213986304,45,8,-1,0.6666666666666666,0.59375
0.05,80,1,32667222.505536392,45,9,-1,0.8333333333333334,0.6770833333333333
0.05,70,1,32138062.71482048,45,10,-1,0.6666666666666666,0.625
0.05,60,1,31561048.077604026,45,11,-1,0.8,0.875
0.05,50,1,30938453.499491103,45,12,-1,0.8,0.84375
0.1,100,1,30272733.58700893,45,13,-1,0.8,0.875
0.1,90,1,29566512.970213614,45,14,-1,0.8,0.84375
0.1,80,1,28822575.954970628,45,15,-1,1.0,0.75
0.1,70,1,28043855.54570636,45,16,-1,0.6,0.3888888888888889
0.1,60,1,27233421.88190912,45,17,-1,0.6666666666666666,0.575
0.1,50,1,26394470.13396903,45,18,-1,0.6666666666666666,0.45
0.15,100,1,25530307.90607815,45,19,-1,1.0,0.5595238095238095
0.15,90,1,24644342.19585536,45,20,-1,1.0,0.5595238095238095
0.15,80,1,23740065.962108318,45,21,-1,1.0,0.49999999999999994
0.15,70,1,22821044.35368957,45,22,-1,1.0,0.7261904761904762
0.15,60,1,21890900.65374034,45,23,-1,0.8,0.4722222222222222
0.15,50,1,20953301.994737215,45,24,-1,1.0,0.5833333333333333
0.2,100,1,20011944.900661,45,25,-1,1.0,0.7261904761904762
0.2,90,1,19070540.71328818,45,26,-1,1.0,0.7666666666666666
0.2,80,1,18132800.960062645,45,27,-1,0.8333333333333334,0.725
0.2,70,1,17202422.721235376,45,28,-1,0.8333333333333334,0.6111111111111112
0.2,60,1,16283074.053962823,45,29,-1,0.8333333333333334,0.5555555555555556
0.2,50,1,15378379.530830115,45,30,-1,0.8333333333333334,0.5347222222222222
0.25,100,1,14491905.949814126,45,31,-1,0.8333333333333334,0.5317460317460317
0.25,90,1,13627148.272025462,45,32,-1,1.0,0.6291666666666667
0.25,80,1,12787515.842670444,45,33,-1,1.0,0.5458333333333334
0.25,70,1,11976318.949557556,45,34,-1,1.0,0.8333333333333333
0.25,60,1,11196755.77214211,45,35,-1,1.0,0.75
0.25,50,1,10451899.77256292,45,36,-1,1.0,0.75
0.35,100,1,9744687.57838259,45,37,-1,1.0,0.6825396825396826
0.35,90,1,9077907.404804064,45,38,-1,0.6,0.3611111111111111
0.35,80,1,8454188.062009484,45,39,-1,0.8,0.4444444444444445
0.35,70,1,7875988.590960344,45,40,-1,0.6,0.3277777777777778
0.35,60,1,7345588.568520261,45,41,-1,0.6,0.3277777777777778
0.35,50,1,6865079.120122829,45,42,-1,0.6666666666666666,0.325
0,100,1,6436354.675417615,45,43,-1,1.0,0.6666666666666666
0,90,1,6061105.49939784,45,44,-1,0.8333333333333334,0.78125
0,80,1,5740811.028456267,45,45,-1,1.0,0.6666666666666666
0,70,1,5476734.037642086,45,46,-1,1.0,1.0
0,60,1,5269915.662114728,45,47,-1,0.8333333333333334,0.6979166666666666
0,50,1,5121171.292422662,45,48,-1,0.8333333333333334,0.6145833333333333
0.05,100,1,5031087.359790262,45,49,-1,1.0,0.5
0.05,90,1,5000019.0240869075,45,50,-1,1.0,0.6666666666666666
0.05,80,1,5028088.773593556,45,51,-1,1.0,0.5
0.05,70,1,5115185.942087313,45,52,-1,1.0,0.5
0.05,60,1,5260967.145147875,45,53,-1,1.0,1.0
0.05,50,1,5464857.633965731,45,54,-1,1.0,0.5
0.1,100,1,5726053.561314635,45,55,-1,0.0,0.0
0.1,90,1,6043525.150754677,45,56,-1,1.0,0.5
0.1,80,1,6416020.756571224,45,57,-1,1.0,0.5
0.1,70,1,6842071.7984432485,45,58,-1,0.0,0.0
0.1,60,1,7319998.551385863,45,59,-1,1.0,0.5
0.1,50,1,7847916.768140011,45,60,-1,1.0,0.5
0.15,100,1,8423745.107900238,45,61,-1,1.0,0.5
0.15,90,1,9045213.342092402,45,62,-1,1.0,0.5
0.15,80,1,9709871.304849759,45,63,-1,1.0,0.5
0.15,70,1,10415098.552899739,45,64,-1,1.0,0.5
0.15,60,1,11158114.696776876,45,65,-1,1.0,0.5
0.15,50,1,11935990.362630645,45,66,-1,1.0,0.5
0.2,100,1,12745658.741410851,45,67,-1,1.0,0.5
0.2,90,1,13583927.679897219,45,68,-1,1.0,0.3333333333333333
