pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.001,0.0,80,1,24980287.2799289,40,1,0.12060835798816567,-1,-1,-1,24198,24942,10.549273490905762,18.47387347852711,20
0.001,0.0,70,1,24921226.837982114,40,2,0.016064164201183433,-1,-1,-1,10087,10831,10.768039226531982,18.517654434384706,20
0.001,0.0,67,1,24823051.52255152,40,3,0.010123890532544378,-1,-1,-1,17381,18125,12.844858169555664,18.59089186707822,20
0.001,0.0,69,1,24686148.39413932,40,4,0.009557599852071006,-1,-1,-1,7122,7866,12.732194662094116,18.69399224612237,20
0.001,0.0,68,1,24511057.19935495,40,5,0.00952292899408284,-1,-1,-1,4031,4775,12.491276264190674,18.827530078091094,20
0.001,0.0,68,1,24298468.24294036,40,6,0.010239460059171597,-1,-1,-1,4835,5579,12.342681884765625,18.99225342324799,20
0.001,0.0,68,1,24049219.666213144,40,7,0.009915865384615384,-1,-1,-1,6308,7052,12.323532104492188,19.18909108369141,20
0.001,0.0,68,1,23764294.142657533,40,8,0.00982340976331361,-1,-1,-1,14881,15625,13.302774429321289,19.41916153269173,20
0.001,0.0,68,1,23444815.00369093,40,9,0.009442030325443787,-1,-1,-1,4408,5152,12.999379634857178,19.68378366790334,20
0.001,0.0,92,1,23092041.809880324,40,10,0.009765625,-1,-1,-1,32153,32897,23.21139097213745,19.98448948196575,20
0.001,0.0,98,1,22707365.38506935,40,11,0.010216346153846154,-1,-1,-1,39298,40042,35.00349283218384,20.323038751563086,20
0.001,0.0,97,1,22292302.332994066,40,12,0.015266734467455622,-1,-1,-1,30034,30778,33.48670244216919,20.701435848716358,20
0.001,0.0,96,1,21848489.05800595,40,13,0.014053254437869823,-1,-1,-1,26982,27726,31.2489652633667,21.121948773732957,20
0.001,0.0,95,1,21377675.313475743,40,14,0.01117557322485207,-1,-1,-1,15760,16504,28.959174156188965,21.58713049476264,20
0.001,0.0,94,1,20881717.30331375,40,15,0.01201923076923077,-1,-1,-1,16714,17458,26.36237859725952,22.09984265007904,20
0.001,0.0,92,1,20362570.36380424,40,16,0.012319711538461538,-1,-1,-1,17064,17808,24.660515785217285,22.66328162023108,20
0.001,0.0,87,1,19822281.25460608,40,17,0.010459042159763314,-1,-1,-1,8930,9674,23.568294048309326,23.281006900224085,20
0.001,0.0,81,1,19262980.089312688,40,18,0.01104844674556213,-1,-1,-1,10184,10928,21.08699321746826,23.956971586276122,20
0.001,0.0,85,1,18686871.937385432,40,19,0.01043592825443787,-1,-1,-1,11018,11762,21.105027198791504,24.695554623211855,20
0.001,0.0,86,1,18096228.13057024,40,20,0.010574611686390532,-1,-1,-1,7513,8257,20.43342351913452,25.501594218249092,20
0.001,0.0,86,1,17493377.308072213,40,21,0.01062083949704142,-1,-1,-1,13169,13913,21.440458297729492,26.38042148977821,20
0.001,0.0,86,1,16880696.235793047,40,22,0.009719397189349112,-1,-1,-1,12101,12845,21.340439319610596,27.33789295302644,20
0.001,0.0,91,1,16260600.435826892,40,23,0.010274130917159764,-1,-1,-1,14829,15573,22.182931900024414,28.380419806016786,20
0.001,0.0,90,1,15635534.663158145,40,24,0.010724852071005916,-1,-1,-1,10447,11191,21.23788595199585,29.51499111533766,20
0.001,0.0,88,1,15007963.267107332,40,25,0.010482156065088757,-1,-1,-1,16855,17599,22.812421321868896,30.749186845232316,20
0.001,0.0,88,1,14380360.475525454,40,26,0.01000832100591716,-1,-1,-1,7853,8597,21.713566780090332,32.091175144884836,20
0.001,0.0,72,1,13755200.640041763,40,27,0.01032035872781065,-1,-1,-1,4727,5471,19.822622537612915,33.5496863145186,20
0.001,0.0,85,1,13134948.480823584,40,28,0.010655510355029586,-1,-1,-1,9790,10534,20.412724018096924,35.13395331092543,20
0.001,0.0,87,1,12522049.369308548,40,29,0.00982340976331361,-1,-1,-1,13124,13868,21.71809434890747,36.85360543281016,20
0.001,0.0,86,1,11918919.687220076,40,30,0.010262573964497042,-1,-1,-1,13509,14253,21.609323024749756,38.71849788210975,20
