pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
0.001,0.0,80,1,24980287.2799289,40,1,0.12060835798816567,-1,-1,-1,24198,24942,10.549273490905762,18.47387347852711,20
0.001,0.0,70,1,24921226.837982114,40,2,0.016064164201183433,-1,-1,-1,10087,10831,10.768039226531982,18.517654434384706,20
0.001,0.0,67,1,24823051.52255152,40,3,0.010123890532544378,-1,-1,-1,17381,18125,12.844858169555664,18.59089186707822,20
0.001,0.0,69,1,24686148.39413932,40,4,0.009557599852071006,-1,-1,-1,7122,7866,12.732194662094116,18.69399224612237,20
0.001,0.0,68,1,24511057.19935495,40,5,0.00952292899408284,-1,-1,-1,4031,4775,12.491276264190674,18.827530078091094,20
0.001,0.0,68,1,24298468.24294036,40,6,0.010239460059171597,-1,-1,-1,4835,5579,12.342681884765625,18.99225342324799,20
0.001,0.0,68,1,24049219.666213144,40,7,0.009915865384615384,-1,-1,-1,6308,7052,12.323532104492188,19.18909108369141,20
0.001,0.0,91,1,23764294.142657533,40,8,0.00982340976331361,-1,-1,-1,34351,35095,24.24487590789795,19.41916153269173,20
0.001,0.0,96,1,23444815.00369093,40,9,0.010539940828402367,-1,-1,-1,30404,31148,29.26387310028076,19.68378366790334,20
0.001,0.0,94,1,23092041.809880324,40,10,0.012400610207100591,-1,-1,-1,18733,19477,26.96248769760132,19.98448948196575,20
0.001,0.0,93,1,22707365.38506935,40,11,0.010366586538461538,-1,-1,-1,15447,16191,26.586315631866455,20.323038751563086,20
0.001,0.0,89,1,22292302.332994066,40,12,0.011071560650887574,-1,-1,-1,13309,14053,24.990084171295166,20.701435848716358,20
0.001,0.0,90,1,21848489.05800595,40,13,0.010297244822485207,-1,-1,-1,15587,16331,24.711766242980957,21.121948773732957,20
0.001,0.0,91,1,21377675.313475743,40,14,0.010274130917159764,-1,-1,-1,11226,11970,24.132556915283203,21.58713049476264,20
0.001,0.0,91,1,20881717.30331375,40,15,0.010366586538461538,-1,-1,-1,13267,14011,23.274812698364258,22.09984265007904,20
0.001,0.0,93,1,20362570.36380424,40,16,0.010967548076923076,-1,-1,-1,20880,21624,24.549357891082764,22.66328162023108,20
0.001,0.0,93,1,19822281.25460608,40,17,0.01037814349112426,-1,-1,-1,19172,19916,25.46039342880249,23.281006900224085,20
0.001,0.0,93,1,19262980.089312688,40,18,0.011568509615384616,-1,-1,-1,23688,24432,25.5102801322937,23.956971586276122,20
0.001,0.0,93,1,18686871.937385432,40,19,0.01043592825443787,-1,-1,-1,19003,19747,25.105621814727783,24.695554623211855,20
0.001,0.0,78,1,18096228.13057024,40,20,0.010817307692307692,-1,-1,-1,3947,4691,21.352975368499756,25.501594218249092,20
0.001,0.0,71,1,17493377.308072213,40,21,0.009881194526627219,-1,-1,-1,5022,5766,20.151476860046387,26.38042148977821,20
0.001,0.0,77,1,16880696.235793047,40,22,0.010539940828402367,-1,-1,-1,6032,6776,19.63984251022339,27.33789295302644,20
0.001,0.0,77,1,16260600.435826892,40,23,0.010366586538461538,-1,-1,-1,4903,5647,18.777648210525513,28.380419806016786,20
0.001,0.0,90,1,15635534.663158145,40,24,0.010643953402366863,-1,-1,-1,11521,12265,21.176507472991943,29.51499111533766,20
0.001,0.0,95,1,15007963.267107332,40,25,0.010285687869822485,-1,-1,-1,29951,30695,28.11837673187256,30.749186845232316,20
0.001,0.0,94,1,14380360.475525454,40,26,0.01123335798816568,-1,-1,-1,13260,14004,26.4443302154541,32.091175144884836,20
0.001,0.0,92,1,13755200.640041763,40,27,0.010516826923076924,-1,-1,-1,15454,16198,25.64293384552002,33.5496863145186,20
0.001,0.0,71,1,13134948.480823584,40,28,0.011325813609467456,-1,-1,-1,3567,4311,20.81226348876953,35.13395331092543,20
0.001,0.0,61,1,12522049.369308548,40,29,0.010828864644970414,-1,-1,-1,3614,4358,19.13964867591858,36.85360543281016,20
0.001,0.0,68,1,11918919.687220076,40,30,0.01055149778106509,-1,-1,-1,5421,6165,18.711005449295044,38.71849788210975,20
