pruning_thresh,target_sparsity,quality,technique,bandwidth,mAP_drop,frame_id,feasible,sensitivity,map
0.001,0.0,88,1,19990143.63996445,40,1,1,1.0,1.0
0.001,0.0,70,1,19960613.41899106,40,2,1,1.0,0.6666666666666666
0.001,0.0,66,1,19911525.76127576,40,3,1,1.0,0.75
0.001,0.0,69,1,19843074.19706966,40,4,1,1.0,0.625
0.001,0.0,69,1,19755528.599677473,40,5,1,1.0,0.5714285714285714
0.001,0.0,69,1,19649234.12147018,40,6,1,1.0,0.6666666666666666
0.001,0.0,69,1,19524609.83310657,40,7,1,1.0,0.6666666666666666
0.001,0.0,69,1,19382147.071328767,40,8,1,1.0,1.0
0.001,0.0,69,1,19222407.501845464,40,9,1,1.0,0.625
0.001,0.0,69,1,19046020.90494016,40,10,1,0.8,0.75
0.001,0.0,69,1,18853682.692534678,40,11,1,0.8,0.75
0.001,0.0,69,1,18646151.166497033,40,12,1,0.6666666666666666,0.6666666666666666
0.001,0.0,69,1,18424244.529002976,40,13,1,0.8333333333333334,0.6388888888888888
0.001,0.0,69,1,18188837.65673787,40,14,1,0.8333333333333334,0.7333333333333334
0.001,0.0,69,1,17940858.651656874,40,15,1,0.8,0.55
0.001,0.0,69,1,17681285.181902118,40,16,1,1.0,0.625
0.001,0.0,69,1,17411140.62730304,40,17,1,1.0,0.625
0.001,0.0,92,1,17131490.044656344,40,18,1,1.0,0.8611111111111112
0.001,0.0,96,1,16843435.968692716,40,19,1,1.0,1.0
0.001,0.0,93,1,16548114.06528512,40,20,1,1.0,0.8492063492063493
0.001,0.0,92,1,16246688.654036107,40,21,1,0.75,0.7428571428571429
0.001,0.0,92,1,15940348.117896523,40,22,1,0.8333333333333334,0.625
0.001,0.0,92,1,15630300.217913445,40,23,1,1.0,0.6309523809523809
0.001,0.0,92,1,15317767.331579072,40,24,1,1.0,0.7166666666666666
0.001,0.0,92,1,15003981.633553667,40,25,1,0.8,0.5833333333333333
0.001,0.0,92,1,14690180.237762727,40,26,1,0.8,0.5833333333333333
0.001,0.0,92,1,14377600.320020882,40,27,1,1.0,0.7166666666666666
0.001,0.0,92,1,14067474.240411792,40,28,1,1.0,0.6666666666666666
0.001,0.0,92,1,13761024.684654275,40,29,1,1.0,0.7833333333333333
0.001,0.0,91,1,13459459.843610039,40,30,1,1.0,0.7833333333333333
0.001,0.0,71,1,13163968.649938043,40,31,1,1.0,0.75
0.001,0.0,69,1,12875716.090675155,40,32,1,1.0,0.75
0.001,0.0,70,1,12595838.61422348,40,33,1,1.0,0.7380952380952381
0.001,0.0,70,1,12325439.649852518,40,34,1,1.0,0.6666666666666666
0.001,0.0,70,1,12065585.257380703,40,35,1,0.8,0.5833333333333333
0.001,0.0,70,1,11817299.92418764,40,36,1,0.75,0.47916666666666663
0.001,0.0,70,1,11581562.52612753,40,37,1,1.0,0.5416666666666666
0.001,0.0,70,1,11359302.468268022,40,38,1,1.0,0.8333333333333333
0.001,0.0,70,1,11151396.02066983,40,39,1,0.5,0.41666666666666663
0.001,0.0,95,1,10958662.863653447,40,40,1,1.0,0.6
0.001,0.0,70,1,10781862.85617342,40,41,1,0.75,0.4583333333333333
0.001,0.0,97,1,10621693.040040944,40,42,1,0.8,0.5
0.001,0.0,99,1,10478784.891805872,40,43,1,0.6666666666666666,0.6666666666666666
0.001,0.0,98,1,10353701.833132613,40,44,1,0.8333333333333334,0.6
0.001,0.0,97,1,10246937.009485424,40,45,1,0.7142857142857143,0.5416666666666666
