pruning_thresh,quality,technique,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr
0.15,80,1,1,-1,-1,-1,-1,23696,24440,4.13934588432312
0.15,80,1,2,-1,-1,-1,-1,22523,23267,7.166993618011475
0.15,80,1,3,-1,-1,-1,-1,20616,21360,8.924177289009094
0.15,80,1,4,-1,-1,-1,-1,17852,18596,9.752584099769592
0.15,80,1,5,-1,-1,-1,-1,14587,15331,10.078520774841309
0.15,80,1,6,-1,-1,-1,-1,12910,13654,10.201281309127808
0.15,80,1,7,-1,-1,-1,-1,11181,11925,10.190104246139526
0.15,80,1,8,-1,-1,-1,-1,13528,14272,10.409290790557861
0.15,80,1,9,-1,-1,-1,-1,13337,14081,10.535449981689453
0.15,80,1,10,-1,-1,-1,-1,10680,11424,10.521137714385986
0.15,80,1,11,-1,-1,-1,-1,11753,12497,10.603101253509521
0.15,80,1,12,-1,-1,-1,-1,13387,14131,10.771199464797974
0.15,80,1,13,-1,-1,-1,-1,12101,12845,10.859347581863403
0.15,80,1,14,-1,-1,-1,-1,10033,10777,10.726947784423828
0.15,80,1,15,-1,-1,-1,-1,9190,9934,10.581927299499512
0.15,80,1,16,-1,-1,-1,-1,9894,10638,10.491894483566284
0.15,80,1,17,-1,-1,-1,-1,10108,10852,10.537298917770386
0.15,80,1,18,-1,-1,-1,-1,10521,11265,10.39563775062561
0.15,80,1,19,-1,-1,-1,-1,8877,9621,10.304893255233765
0.15,80,1,20,-1,-1,-1,-1,9846,10590,10.352257490158081
0.15,80,1,21,-1,-1,-1,-1,11474,12218,10.460493564605713
0.15,80,1,22,-1,-1,-1,-1,11529,12273,10.545800924301147
0.15,80,1,23,-1,-1,-1,-1,9257,10001,10.455906391143799
0.15,80,1,24,-1,-1,-1,-1,7143,7887,10.320038795471191
0.15,80,1,25,-1,-1,-1,-1,10409,11153,10.45849084854126
0.15,80,1,26,-1,-1,-1,-1,9309,10053,10.43083906173706
0.15,80,1,27,-1,-1,-1,-1,9309,10053,10.412620306015015
0.15,80,1,28,-1,-1,-1,-1,9785,10529,10.436416864395142
0.15,80,1,29,-1,-1,-1,-1,11026,11770,10.547957420349121
0.15,80,1,30,-1,-1,-1,-1,9277,10021,10.490041971206665
0.15,80,1,31,-1,-1,-1,-1,9604,10348,10.448691844940186
0.15,80,1,32,-1,-1,-1,-1,8921,9665,10.400211811065674
0.15,80,1,33,-1,-1,-1,-1,11629,12373,10.4472017288208
0.15,80,1,34,-1,-1,-1,-1,11644,12388,10.576235055923462
0.15,80,1,35,-1,-1,-1,-1,11147,11891,10.664024353027344
0.15,80,1,36,-1,-1,-1,-1,10154,10898,10.66387414932251
0.15,80,1,37,-1,-1,-1,-1,9539,10283,10.615609884262085
0.15,80,1,38,-1,-1,-1,-1,9209,9953,10.553085803985596
0.15,80,1,39,-1,-1,-1,-1,11293,12037,10.644458532333374
0.15,80,1,40,-1,-1,-1,-1,7430,8174,10.465238094329834
0.15,80,1,41,-1,-1,-1,-1,9237,9981,10.426685810089111
0.15,80,1,42,-1,-1,-1,-1,9114,9858,10.409051179885864
0.15,80,1,43,-1,-1,-1,-1,10073,10817,10.462592840194702
0.15,80,1,44,-1,-1,-1,-1,7655,8399,10.264698266983032
0.15,80,1,45,-1,-1,-1,-1,9999,10743,10.334391593933105
0.15,80,1,46,-1,-1,-1,-1,11315,12059,10.442169904708862
0.15,80,1,47,-1,-1,-1,-1,8824,9568,10.363987684249878
0.15,80,1,48,-1,-1,-1,-1,9740,10484,10.298941135406494
0.15,80,1,49,-1,-1,-1,-1,11909,12653,10.463212728500366
0.15,80,1,50,-1,-1,-1,-1,9646,10390,10.411951541900635
0.15,80,1,51,-1,-1,-1,-1,9820,10564,10.441781282424927
0.15,80,1,52,-1,-1,-1,-1,9834,10578,10.457212924957275
0.15,80,1,53,-1,-1,-1,-1,10556,11300,10.533387660980225
0.15,80,1,54,-1,-1,-1,-1,8676,9420,10.388349294662476
0.15,80,1,55,-1,-1,-1,-1,9387,10131,10.374419689178467
0.15,80,1,56,-1,-1,-1,-1,10210,10954,10.479627847671509
0.15,80,1,57,-1,-1,-1,-1,9260,10004,10.51138162612915
0.15,80,1,58,-1,-1,-1,-1,9880,10624,10.515294075012207
0.15,80,1,59,-1,-1,-1,-1,11755,12499,10.623737573623657
0.15,80,1,60,-1,-1,-1,-1,11189,11933,10.652618408203125
0.15,80,1,61,-1,-1,-1,-1,9334,10078,10.380271673202515
0.15,80,1,62,-1,-1,-1,-1,11351,12095,10.445743799209595
0.15,80,1,63,-1,-1,-1,-1,12006,12750,10.580201148986816
0.15,80,1,64,-1,-1,-1,-1,11044,11788,10.63124418258667
0.15,80,1,65,-1,-1,-1,-1,12281,13025,10.778671503067017
0.15,80,1,66,-1,-1,-1,-1,10702,11446,10.788381099700928
0.15,80,1,67,-1,-1,-1,-1,8528,9272,10.657174587249756
0.15,80,1,68,-1,-1,-1,-1,8944,9688,10.636537075042725
0.15,80,1,69,-1,-1,-1,-1,10226,10970,10.691366195678711
0.15,80,1,70,-1,-1,-1,-1,8538,9282,10.583041906356812
0.15,80,1,71,-1,-1,-1,-1,9651,10395,10.599192380905151
0.15,80,1,72,-1,-1,-1,-1,9820,10564,10.603091716766357
0.15,80,1,73,-1,-1,-1,-1,11094,11838,10.703293085098267
0.15,80,1,74,-1,-1,-1,-1,10167,10911,10.744049549102783
0.15,80,1,75,-1,-1,-1,-1,11618,12362,10.84287405014038
0.15,80,1,76,-1,-1,-1,-1,12891,13635,10.917370319366455
0.15,80,1,77,-1,-1,-1,-1,11239,11983,10.967998504638672
0.15,80,1,78,-1,-1,-1,-1,11372,12116,10.932053327560425
0.15,80,1,79,-1,-1,-1,-1,11278,12022,10.988510847091675
0.15,80,1,80,-1,-1,-1,-1,11555,12299,11.07154369354248
0.15,80,1,81,-1,-1,-1,-1,11331,12075,11.100938320159912
0.15,80,1,82,-1,-1,-1,-1,11460,12204,11.125311851501465
0.15,80,1,83,-1,-1,-1,-1,11350,12094,11.169700622558594
0.15,80,1,84,-1,-1,-1,-1,10527,11271,11.196380853652954
0.15,80,1,85,-1,-1,-1,-1,8922,9666,11.093275547027588
0.15,80,1,86,-1,-1,-1,-1,9798,10542,11.078535318374634
