pruning_thresh,quality,technique,frame_id,sensitivity,map
0.15,80,1,1,1.0,1.0
0.15,80,1,2,1.0,0.75
0.15,80,1,3,1.0,0.75
0.15,80,1,4,1.0,0.6666666666666666
0.15,80,1,5,0.75,0.5
0.15,80,1,6,1.0,0.5714285714285714
0.15,80,1,7,1.0,0.625
0.15,80,1,8,1.0,1.0
0.15,80,1,9,1.0,0.625
0.15,80,1,10,0.8,0.75
0.15,80,1,11,0.8,0.75
0.15,80,1,12,0.8333333333333334,0.7333333333333334
0.15,80,1,13,0.8333333333333334,0.7333333333333334
0.15,80,1,14,0.8333333333333334,0.65
0.15,80,1,15,1.0,0.7
0.15,80,1,16,1.0,0.625
0.15,80,1,17,1.0,0.625
0.15,80,1,18,1.0,0.9166666666666666
0.15,80,1,19,1.0,0.9166666666666666
0.15,80,1,20,0.8333333333333334,0.7777777777777778
0.15,80,1,21,0.875,0.7644444444444445
0.15,80,1,22,0.8333333333333334,0.7083333333333333
0.15,80,1,23,0.8,0.5555555555555556
0.15,80,1,24,0.8,0.5499999999999999
0.15,80,1,25,0.8,0.5833333333333333
0.15,80,1,26,1.0,0.7166666666666666
0.15,80,1,27,1.0,0.6309523809523809
0.15,80,1,28,0.75,0.49999999999999994
0.15,80,1,29,1.0,0.6666666666666666
0.15,80,1,30,1.0,0.6666666666666666
0.15,80,1,31,0.8,0.5833333333333333
0.15,80,1,32,1.0,0.6666666666666666
0.15,80,1,33,0.6666666666666666,0.5555555555555556
0.15,80,1,34,0.75,0.49999999999999994
0.15,80,1,35,0.6,0.4722222222222222
0.15,80,1,36,0.75,0.47916666666666663
0.15,80,1,37,1.0,0.5166666666666666
0.15,80,1,38,1.0,0.8333333333333333
0.15,80,1,39,0.5,0.41666666666666663
0.15,80,1,40,0.75,0.5
0.15,80,1,41,0.75,0.4666666666666666
0.15,80,1,42,0.8,0.5
0.15,80,1,43,0.6666666666666666,0.6666666666666666
0.15,80,1,44,0.8333333333333334,0.75
0.15,80,1,45,0.7142857142857143,0.5333333333333333
0.15,80,1,46,0.7142857142857143,0.488095238095238
0.15,80,1,47,0.5,0.44999999999999996
0.15,80,1,48,0.75,0.37777777777777777
0.15,80,1,49,0.6666666666666666,0.4583333333333333
0.15,80,1,50,0.75,0.41666666666666663
0.15,80,1,51,0.75,0.6433333333333333
0.15,80,1,52,1.0,0.7916666666666666
0.15,80,1,53,1.0,0.7638888888888888
0.15,80,1,54,0.875,0.75
0.15,80,1,55,0.7142857142857143,0.5458333333333334
0.15,80,1,56,0.7142857142857143,0.6666666666666666
0.15,80,1,57,1.0,0.7666666666666666
0.15,80,1,58,1.0,0.7916666666666666
0.15,80,1,59,0.625,0.5583333333333333
0.15,80,1,60,1.0,0.6833333333333333
0.15,80,1,61,0.7142857142857143,0.5416666666666666
0.15,80,1,62,0.7777777777777778,0.65
0.15,80,1,63,0.7777777777777778,0.6799999999999999
0.15,80,1,64,0.75,0.625
0.15,80,1,65,0.8333333333333334,0.5833333333333334
0.15,80,1,66,0.8333333333333334,0.5625
0.15,80,1,67,0.8333333333333334,0.55
0.15,80,1,68,0.8571428571428571,0.7222222222222222
0.15,80,1,69,0.8333333333333334,0.5416666666666666
0.15,80,1,70,1.0,1.0
0.15,80,1,71,0.8333333333333334,0.5833333333333334
0.15,80,1,72,0.8,0.47916666666666663
0.15,80,1,73,0.875,0.75
0.15,80,1,74,0.8571428571428571,0.75
0.15,80,1,75,0.8571428571428571,0.6388888888888888
0.15,80,1,76,0.75,0.675
0.15,80,1,77,0.8571428571428571,0.7142857142857143
0.15,80,1,78,0.7,0.6888888888888889
0.15,80,1,79,0.8571428571428571,0.75
0.15,80,1,80,0.7272727272727273,0.7380952380952381
0.15,80,1,81,1.0,0.9583333333333333
0.15,80,1,82,0.75,0.6875
0.15,80,1,83,0.75,0.6875
0.15,80,1,84,0.625,0.5625
0.15,80,1,85,0.5555555555555556,0.515
0.15,80,1,86,0.7,0.6833333333333333
0.15,80,1,87,0.6666666666666666,0.59
0.15,80,1,88,0.7777777777777778,0.775
0.15,80,1,89,0.7777777777777778,0.76
0.15,80,1,90,0.6666666666666666,0.625
0.15,80,1,91,0.5555555555555556,0.525
0.15,80,1,92,0.625,0.4583333333333333
0.15,80,1,93,0.7142857142857143,0.5972222222222222
0.15,80,1,94,0.7142857142857143,0.5972222222222222
0.15,80,1,95,0.6666666666666666,0.4583333333333333
