pruning_thresh,quality,technique,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr
0.15,80,1,1,-1,-1,-1,-1,19007,19751,6.617319583892822
0.15,80,1,2,-1,-1,-1,-1,14501,15245,8.346183896064758
0.15,80,1,3,-1,-1,-1,-1,12559,13303,8.114667534828186
0.15,80,1,4,-1,-1,-1,-1,13127,13871,4.826560020446777
0.15,80,1,5,-1,-1,-1,-1,16975,17719,6.748338937759399
0.15,80,1,6,-1,-1,-1,-1,15134,15878,7.71135687828064
0.15,80,1,7,-1,-1,-1,-1,16913,17657,8.482655882835388
0.15,80,1,8,-1,-1,-1,-1,12968,13712,8.528116941452026
0.15,80,1,9,-1,-1,-1,-1,14003,14747,8.73911738395691
0.15,80,1,10,-1,-1,-1,-1,12966,13710,8.82910668849945
0.15,80,1,11,-1,-1,-1,-1,15574,16318,8.988757133483887
0.15,80,1,12,-1,-1,-1,-1,12718,13462,8.789154887199402
0.15,80,1,13,-1,-1,-1,-1,12711,13455,8.483482003211975
0.15,80,1,14,-1,-1,-1,-1,11454,12198,8.336864709854126
0.15,80,1,15,-1,-1,-1,-1,14119,14863,8.572340607643127
0.15,80,1,16,-1,-1,-1,-1,13412,14156,8.564701080322266
0.15,80,1,17,-1,-1,-1,-1,12436,13180,8.502863645553589
0.15,80,1,18,-1,-1,-1,-1,14597,15341,8.604816198348999
0.15,80,1,19,-1,-1,-1,-1,13568,14312,8.701795935630798
0.15,80,1,20,-1,-1,-1,-1,13733,14477,8.776601552963257
0.15,80,1,21,-1,-1,-1,-1,14222,14966,8.881011009216309
0.15,80,1,22,-1,-1,-1,-1,13096,13840,8.782304525375366
0.15,80,1,23,-1,-1,-1,-1,11638,12382,8.333091139793396
0.15,80,1,24,-1,-1,-1,-1,12048,12792,8.008828163146973
0.15,80,1,25,-1,-1,-1,-1,12453,13197,7.916728258132935
0.15,80,1,26,-1,-1,-1,-1,13319,14063,7.9576945304870605
0.15,80,1,27,-1,-1,-1,-1,13265,14009,7.9361337423324585
0.15,80,1,28,-1,-1,-1,-1,11853,12597,7.598269581794739
0.15,80,1,29,-1,-1,-1,-1,12869,13613,7.649989724159241
0.15,80,1,30,-1,-1,-1,-1,10600,11344,7.34623908996582
0.15,80,1,31,-1,-1,-1,-1,13407,14151,7.538619041442871
0.15,80,1,32,-1,-1,-1,-1,10907,11651,7.298530340194702
0.15,80,1,33,-1,-1,-1,-1,12199,12943,7.155869007110596
0.15,80,1,34,-1,-1,-1,-1,12857,13601,7.2719573974609375
0.15,80,1,35,-1,-1,-1,-1,11257,12001,7.174283266067505
0.15,80,1,36,-1,-1,-1,-1,12254,12998,7.254056334495544
0.15,80,1,37,-1,-1,-1,-1,12483,13227,7.272113561630249
0.15,80,1,38,-1,-1,-1,-1,14458,15202,7.405498027801514
0.15,80,1,39,-1,-1,-1,-1,12071,12815,7.404317855834961
0.15,80,1,40,-1,-1,-1,-1,13445,14189,7.660698890686035
0.15,80,1,41,-1,-1,-1,-1,12925,13669,7.730956673622131
0.15,80,1,42,-1,-1,-1,-1,14042,14786,7.870426177978516
0.15,80,1,43,-1,-1,-1,-1,11520,12264,7.554266452789307
0.15,80,1,44,-1,-1,-1,-1,13319,14063,7.8265804052352905
0.15,80,1,45,-1,-1,-1,-1,15493,16237,8.324704766273499
0.15,80,1,46,-1,-1,-1,-1,13049,13793,8.333940505981445
0.15,80,1,47,-1,-1,-1,-1,11730,12474,8.206954598426819
0.15,80,1,48,-1,-1,-1,-1,11709,12453,8.076682090759277
0.15,80,1,49,-1,-1,-1,-1,15398,16142,8.461403846740723
0.15,80,1,50,-1,-1,-1,-1,11514,12258,8.38912546634674
0.15,80,1,51,-1,-1,-1,-1,10506,11250,8.167458772659302
0.15,80,1,52,-1,-1,-1,-1,10056,10800,7.877280116081238
0.15,80,1,53,-1,-1,-1,-1,10217,10961,7.656222581863403
0.15,80,1,54,-1,-1,-1,-1,14981,15725,8.125908374786377
0.15,80,1,55,-1,-1,-1,-1,13595,14339,8.288788795471191
0.15,80,1,56,-1,-1,-1,-1,13795,14539,8.54796051979065
0.15,80,1,57,-1,-1,-1,-1,12006,12750,8.446840047836304
0.15,80,1,58,-1,-1,-1,-1,13000,13744,8.331034183502197
0.15,80,1,59,-1,-1,-1,-1,13260,14004,8.436729311943054
0.15,80,1,60,-1,-1,-1,-1,13646,14390,8.472282886505127
0.15,80,1,61,-1,-1,-1,-1,12361,13105,8.479920625686646
0.15,80,1,62,-1,-1,-1,-1,11517,12261,8.257396221160889
0.15,80,1,63,-1,-1,-1,-1,13951,14695,8.291701674461365
0.15,80,1,64,-1,-1,-1,-1,11664,12408,8.14002811908722
0.15,80,1,65,-1,-1,-1,-1,12719,13463,8.26345682144165
0.15,80,1,66,-1,-1,-1,-1,11407,12151,8.148738145828247
0.15,80,1,67,-1,-1,-1,-1,12302,13046,8.15327763557434
0.15,80,1,68,-1,-1,-1,-1,12912,13656,8.06422472000122
0.15,80,1,69,-1,-1,-1,-1,13715,14459,8.139927983283997
0.15,80,1,70,-1,-1,-1,-1,11120,11864,7.929291725158691
