frame_id,bandwidth,mAP_drop,technique,feasibility,target_cmp,target_snr,est_cmp,est_snr,pruning_thresh,quality
1,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
2,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
3,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
4,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
5,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
6,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
7,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
8,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
9,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
10,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
11,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
12,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
13,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
14,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
15,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
16,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
17,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
18,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
19,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
20,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
21,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
22,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
23,48072185.0,0.25,1,-1,11.519742653678005,14,-1,-1,-1,-1
24,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
25,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
26,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
27,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
28,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
29,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
30,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
31,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
32,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
33,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
34,8351070.0,0.25,1,-1,66.31236476283878,14,-1,-1,-1,-1
35,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
36,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
37,12847800.0,0.25,1,-1,43.1030370958452,14,-1,-1,-1,-1
38,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
39,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
40,20663545.0,0.25,1,-1,26.79981581088821,14,-1,-1,-1,-1
41,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
42,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
43,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
44,32976020.0,0.25,1,-1,16.793391076303326,14,-1,-1,-1,-1
