pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,model_head_time,model_tail_time,framework_head_time,framework_tail_time,framework_response_time,compression_time,decompression_time,overall_time
0,100,1,8351070.0,0.25,1,261.04071044921875,4.601056098937988,120.57452538609505,0.033984001725912094,18.315519332885742,63.16022491455078,0.06431999802589417,469.5711364746094
0,90,1,12847800.0,0.25,2,9.901535987854004,4.520544052124023,1.2525760382413864,0.029983999207615852,14.874367713928223,2.6855359077453613,0.056671999394893646,33.94047927856445
0,80,1,12847800.0,0.25,3,9.86905574798584,4.756896018981934,0.9710079878568649,0.030719999223947525,16.200960159301758,2.7221760749816895,0.060736000537872314,33.89779281616211
0,70,1,20663545.0,0.25,4,9.915264129638672,4.734591960906982,1.2546560019254684,0.029120000079274178,15.037343978881836,3.813823938369751,0.055743999779224396,34.8040657043457
0,60,1,20663545.0,0.25,5,9.930944442749023,4.692704200744629,1.2664640247821808,0.02921600081026554,16.72502326965332,3.018847942352295,0.07561600208282471,36.20332717895508
0,50,1,20663545.0,0.25,6,9.885696411132812,4.630239963531494,1.4239999800920486,0.029600000008940697,15.688223838806152,3.0260798931121826,0.056063998490571976,35.173439025878906
0.05,100,1,20663545.0,0.25,7,9.912575721740723,4.574687957763672,1.3720320612192154,0.055296000093221664,15.840543746948242,5.579999923706055,0.08435200154781342,37.48499298095703
0.05,90,1,32976020.0,0.25,8,9.895520210266113,4.577216148376465,1.6531839966773987,0.02969600073993206,16.610464096069336,3.95632004737854,0.05632000043988228,37.58863830566406
0.05,80,1,32976020.0,0.25,9,9.922911643981934,4.682591915130615,1.372352048754692,0.06143999844789505,17.278783798217773,3.811295986175537,0.08915200084447861,37.28339385986328
0.05,70,1,32976020.0,0.25,10,9.920767784118652,4.548480033874512,2.058496057987213,0.04383999854326248,16.077407836914062,3.868607997894287,0.08316799998283386,38.33180618286133
0.05,60,1,32976020.0,0.25,11,9.870304107666016,4.530208110809326,1.367552012205124,0.02956799976527691,14.855936050415039,4.626336097717285,0.05619199946522713,35.61471939086914
0.05,50,1,48072185.0,0.25,12,9.87987232208252,4.733215808868408,1.5118400305509567,0.028863999992609024,16.35820770263672,4.130112171173096,0.05632000043988228,37.972896575927734
0.1,100,1,48072185.0,0.25,13,9.926752090454102,4.515039920806885,1.393951952457428,0.02844800055027008,16.48966407775879,5.84284782409668,0.05411199852824211,39.10134506225586
0.1,90,1,48072185.0,0.25,14,9.887935638427734,4.634624004364014,1.3352000415325165,0.029920000582933426,16.853984832763672,4.379712104797363,0.056352000683546066,38.38102340698242
0.1,80,1,48072185.0,0.25,15,9.920512199401855,4.572864055633545,1.359903946518898,0.028672000393271446,17.034400939941406,4.183296203613281,0.055296000093221664,38.205055236816406
0.1,70,1,48072185.0,0.25,16,9.904447555541992,4.6069440841674805,1.3914240598678589,0.028672000393271446,16.03718376159668,4.2381439208984375,0.054655998945236206,37.58867263793945
0.1,60,1,48072185.0,0.25,17,9.923680305480957,4.570335865020752,1.3684159517288208,0.028704000636935234,14.947456359863281,3.8324480056762695,0.055296000093221664,34.89411163330078
0.1,50,1,48072185.0,0.25,18,9.891807556152344,4.603295803070068,1.1953600496053696,0.043007999658584595,15.436448097229004,3.8738560676574707,0.06976000219583511,34.716064453125
0.15,100,1,48072185.0,0.25,19,9.866368293762207,4.624032020568848,1.111136019229889,0.029120000079274178,17.646879196166992,5.458623886108398,0.07100799679756165,38.248863220214844
0.15,90,1,48072185.0,0.25,20,9.882080078125,4.560128211975098,1.6174399554729462,0.02876799926161766,16.043264389038086,4.339136123657227,0.055296000093221664,37.3317756652832
