pruning_thresh,quality,technique,bandwidth,drop,frame_id,sparsity,decomposability,regularity,pictoriality,compression_ratio,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr,consumed_bw
0.2,80,1,6000000.0,0.3,1,0.9464797522189349,-1,-1,-1,18.342890455244053,18869,19613,2.3225373029708862,-1,-1,-1
0.15,1,3,6000000.0,0.3,2,0.881067400147929,-1,-1,-1,16.816247206296765,20582,237669,5.896003842353821,-1,-1,-1
0.05,100,1,6000000.0,0.3,3,0.5295280140532544,-1,-1,-1,5.19484885780326,66626,67370,19.318177700042725,-1,-1,-1
0.05,60,1,6000000.0,0.3,4,0.5817192122781065,-1,-1,-1,110.19165870741801,3141,3885,15.469787120819092,-1,-1,-1
0.15,3,2,6000000.0,0.3,5,0.903383875739645,-1,-1,-1,4.333333333333333,79872,197124,15.483765602111816,-1,-1,-1
0.1,80,1,6000000.0,0.3,6,0.7657290125739645,-1,-1,-1,56.69320229320229,6105,6849,15.22469162940979,-1,-1,-1
0.1,70,1,8880000.000000002,0.3,7,0.7573039940828402,-1,-1,-1,94.56612021857923,3660,4404,14.022120237350464,-1,-1,-1
0.1,2,2,8880000.000000002,0.3,8,0.7575813609467456,-1,-1,-1,6.5,53248,169979,14.632570743560791,-1,-1,-1
0.15,2,2,8880000.000000002,0.3,9,0.9127912352071006,-1,-1,-1,6.5,53248,169979,14.268356561660767,-1,-1,-1
0.15,4,2,8880000.000000002,0.2,10,0.9157613720414202,-1,-1,-1,3.25,106496,220764,14.642970561981201,-1,-1,-1
0.1,3,3,8880000.000000002,0.2,11,0.7536404400887574,-1,-1,-1,8.118215508748886,42634,257609,14.21907901763916,-1,-1,-1
0.15,90,1,8880000.000000002,0.2,12,0.9194942677514792,-1,-1,-1,51.550789395293414,6714,7458,14.500218629837036,-1,-1,-1
0,90,1,6000000.0,0.2,13,0.0,-1,-1,-1,30.128133704735376,11488,12232,17.63163924217224,-1,-1,-1
0.2,2,3,6000000.0,0.2,14,0.9697323409763313,-1,-1,-1,66.07712867506682,5238,252593,14.753960371017456,-1,-1,-1
