pruning_thresh,quality,technique,bandwidth,drop,frame_id,feasible,sensitivity,map
0.2,80,1,6000000.0,0.3,1,-1,0.5,0.5
0.15,1,3,6000000.0,0.3,2,-1,0.6666666666666666,0.41666666666666663
0.05,100,1,6000000.0,0.3,3,-1,1.0,0.75
0.05,60,1,6000000.0,0.3,4,-1,0.6,0.4583333333333333
0.15,3,2,6000000.0,0.3,5,-1,0.6,0.5833333333333333
0.1,80,1,6000000.0,0.3,6,-1,0.8,0.825
0.1,70,1,8880000.000000002,0.3,7,-1,0.6666666666666666,0.575
0.1,2,2,8880000.000000002,0.3,8,-1,0.6666666666666666,0.575
0.15,2,2,8880000.000000002,0.3,9,-1,0.6666666666666666,0.625
0.15,4,2,8880000.000000002,0.2,10,-1,0.8333333333333334,0.75
0.1,3,3,8880000.000000002,0.2,11,-1,1.0,1.0
0.15,90,1,8880000.000000002,0.2,12,-1,0.8,0.875
0,90,1,6000000.0,0.2,13,-1,0.8,0.875
0.2,2,3,6000000.0,0.2,14,-1,0.8,0.875
0.25,1,2,8880000.000000002,0.2,15,-1,1.0,0.875
0.25,5,3,8880000.000000002,0.2,16,-1,0.6,0.3888888888888889
0.15,60,1,6000000.0,0.2,17,-1,0.6666666666666666,0.5625
0.25,1,2,6000000.0,0.2,18,-1,0.6666666666666666,0.5625
0.2,60,1,6000000.0,0.2,19,-1,0.75,0.26785714285714285
0.15,4,3,6000000.0,0.4,20,-1,0.75,0.39285714285714285
0.15,100,1,6000000.0,0.4,21,-1,1.0,0.6666666666666666
0,100,1,6000000.0,0.4,22,-1,1.0,0.626984126984127
0.2,4,2,6000000.0,0.4,23,-1,1.0,0.7222222222222222
0.25,70,1,6000000.0,0.4,24,-1,1.0,0.75
0.15,3,3,6000000.0,0.4,25,-1,1.0,0.8333333333333333
0,90,1,6000000.0,0.4,26,-1,1.0,0.7666666666666666
0.1,100,1,6000000.0,0.4,27,-1,0.8333333333333334,0.7083333333333333
0.1,3,2,6000000.0,0.4,28,-1,0.8333333333333334,0.6944444444444444
0.1,1,2,6000000.0,0.4,29,-1,0.8333333333333334,0.7111111111111111
0.25,2,2,6000000.0,0.4,30,-1,0.8333333333333334,0.6444444444444445
0.05,4,2,6000000.0,0.4,31,-1,0.8333333333333334,0.6555555555555556
0.25,3,2,6000000.0,0.4,32,-1,1.0,0.7166666666666666
0.1,1,3,6000000.0,0.4,33,-1,1.0,0.8222222222222222
0,60,1,6000000.0,0.4,34,-1,1.0,0.75
0.15,80,1,6000000.0,0.4,35,-1,1.0,0.6666666666666666
0.15,90,1,6000000.0,0.4,36,-1,1.0,0.5833333333333333
0.1,100,1,6000000.0,0.4,37,-1,1.0,0.6666666666666666
0.05,4,3,6000000.0,0.4,38,-1,1.0,0.75
0.2,3,3,6000000.0,0.4,39,-1,0.8,0.6666666666666666
0.05,5,2,6000000.0,0.4,40,-1,0.8,0.75
0.2,80,1,6000000.0,0.4,41,-1,0.8,0.6666666666666666
0.2,90,1,6000000.0,0.4,42,-1,0.6666666666666666,0.6041666666666666
0.2,1,2,6000000.0,0.4,43,-1,0.75,0.5416666666666666
0,2,3,6000000.0,0.4,44,-1,0.6666666666666666,0.625
0,1,3,6000000.0,0.4,45,-1,1.0,0.9166666666666666
0.05,1,2,8880000.000000002,0.4,46,-1,1.0,0.8333333333333333
0.15,3,2,8880000.000000002,0.4,47,-1,0.8333333333333334,0.6166666666666667
0.2,2,3,8880000.000000002,0.4,48,-1,0.8333333333333334,0.6041666666666666
0.15,3,3,8880000.000000002,0.4,49,-1,1.0,0.8333333333333333
0.05,2,3,8880000.000000002,0.2,50,-1,1.0,0.6666666666666666
0.1,3,3,8880000.000000002,0.2,51,-1,1.0,0.5
0.25,3,3,8880000.000000002,0.2,52,-1,1.0,0.5
0.25,90,1,8880000.000000002,0.2,53,-1,1.0,0.5
0.2,90,1,8880000.000000002,0.2,54,-1,1.0,0.5
0.2,100,1,8880000.000000002,0.2,55,-1,0.0,0.0
0,3,2,8880000.000000002,0.2,56,-1,1.0,0.5
0,60,1,8880000.000000002,0.2,57,-1,1.0,0.5
0.2,2,2,8880000.000000002,0.2,58,-1,1.0,0.5
0.2,1,3,8880000.000000002,0.2,59,-1,1.0,0.5
0,2,2,8880000.000000002,0.2,60,-1,0.0,0.0
0.1,5,2,8880000.000000002,0.2,61,-1,0.0,0.0
0.05,3,3,8880000.000000002,0.2,62,-1,1.0,0.3333333333333333
0.1,1,3,8880000.000000002,0.2,63,-1,1.0,0.3333333333333333
0.25,2,3,8880000.000000002,0.2,64,-1,0.0,0.0
0.15,4,3,8880000.000000002,0.2,65,-1,0.0,0.0
0.15,80,1,8880000.000000002,0.2,66,-1,1.0,0.5
0.15,2,2,8880000.000000002,0.2,67,-1,1.0,0.5
0.25,70,1,8880000.000000002,0.2,68,-1,1.0,0.5
0.05,2,3,8880000.000000002,0.2,69,-1,1.0,0.5
0.05,2,2,8880000.000000002,0.2,70,-1,1.0,0.5
0.05,5,2,8880000.000000002,0.2,71,-1,1.0,0.5
0.25,4,3,8880000.000000002,0.2,72,-1,1.0,0.5
0,5,3,8880000.000000002,0.2,73,-1,1.0,0.5
0.05,1,3,8880000.000000002,0.2,74,-1,1.0,0.5
0.1,4,2,8880000.000000002,0.2,75,-1,1.0,0.41666666666666663
0,5,2,8880000.000000002,0.2,76,-1,1.0,0.5
0.25,5,2,8880000.000000002,0.2,77,-1,1.0,0.5
0.15,5,2,8880000.000000002,0.2,78,-1,1.0,0.5
0.2,60,1,8880000.000000002,0.2,79,-1,1.0,0.5
0.2,5,3,8880000.000000002,0.2,80,-1,1.0,0.5
0.1,5,3,8880000.000000002,0.2,81,-1,1.0,0.5
0.1,60,1,8880000.000000002,0.2,82,-1,0.0,0.0
0.2,5,2,8880000.000000002,0.2,83,-1,0.0,0.0
0.05,90,1,8880000.000000002,0.2,84,-1,1.0,1.0
0.25,90,1,8880000.000000002,0.2,85,-1,1.0,0.5
0,70,1,8880000.000000002,0.2,86,-1,0.0,0.0
0.25,4,2,8880000.000000002,0.2,87,-1,1.0,0.25
0.05,1,2,6000000.0,0.2,88,-1,1.0,1.0
0.2,2,2,6000000.0,0.2,89,-1,1.0,1.0
0.2,70,1,6000000.0,0.4,90,-1,1.0,1.0
0.2,1,3,6000000.0,0.4,91,-1,1.0,1.0
0.15,1,2,6000000.0,0.4,92,-1,1.0,1.0
0.05,80,1,6000000.0,0.4,93,-1,1.0,1.0
0.15,60,1,6000000.0,0.4,94,-1,1.0,1.0
0.05,5,3,6000000.0,0.4,95,-1,1.0,1.0
0.25,60,1,6000000.0,0.4,96,-1,1.0,1.0
0.1,60,1,6000000.0,0.4,97,-1,0.0,0.0
0.05,60,1,6000000.0,0.4,98,-1,1.0,0.3333333333333333
0,5,2,6000000.0,0.4,99,-1,1.0,0.3333333333333333
0.2,1,2,6000000.0,0.4,100,-1,1.0,0.6666666666666666
0,2,3,6000000.0,0.4,101,-1,1.0,0.6666666666666666
0.25,1,3,6000000.0,0.4,102,-1,1.0,0.3333333333333333
0.1,2,2,6000000.0,0.4,103,-1,1.0,0.3333333333333333
0,3,3,6000000.0,0.4,104,-1,1.0,0.3333333333333333
0.1,4,3,6000000.0,0.4,105,-1,1.0,0.3333333333333333
0,4,2,6000000.0,0.4,106,-1,1.0,1.0
0.1,90,1,6000000.0,0.4,107,-1,0.0,0.0
0.1,3,2,6000000.0,0.4,108,-1,0.0,0.0
0.15,100,1,6000000.0,0.4,109,-1,0.0,0.0
0.25,80,1,6000000.0,0.4,110,-1,0.0,0.0
0,4,3,6000000.0,0.4,111,-1,0.0,0.0
0.25,60,1,8880000.000000002,0.4,112,-1,1.0,0.5
0.1,80,1,8880000.000000002,0.4,113,-1,1.0,0.25
0.25,2,2,8880000.000000002,0.4,114,-1,1.0,0.5
0,80,1,8880000.000000002,0.4,115,-1,1.0,0.3333333333333333
0.05,70,1,8880000.000000002,0.4,116,-1,1.0,0.75
0.05,100,1,8880000.000000002,0.4,117,-1,1.0,0.8333333333333333
0.05,4,2,8880000.000000002,0.4,118,-1,1.0,0.6666666666666666
0.25,80,1,8880000.000000002,0.4,119,-1,1.0,0.6666666666666666
0,70,1,8880000.000000002,0.2,120,-1,0.5,0.16666666666666666
0.15,2,3,8880000.000000002,0.2,121,-1,1.0,0.5
0.2,4,3,8880000.000000002,0.2,122,-1,1.0,0.75
0.2,70,1,8880000.000000002,0.2,123,-1,1.0,1.0
0.05,70,1,8880000.000000002,0.2,124,-1,0.75,0.7777777777777778
0.05,80,1,8880000.000000002,0.2,125,-1,1.0,1.0
0,2,2,8880000.000000002,0.2,126,-1,1.0,1.0
0.15,5,3,8880000.000000002,0.2,127,-1,1.0,0.9166666666666666
0.15,4,2,8880000.000000002,0.2,128,-1,0.6666666666666666,0.6666666666666666
0.1,2,3,8880000.000000002,0.2,129,-1,0.6666666666666666,0.6666666666666666
0.2,5,2,6000000.0,0.4,130,-1,0.6666666666666666,0.6666666666666666
0.2,3,3,6000000.0,0.4,131,-1,0.5,0.5
0.05,2,2,6000000.0,0.4,132,-1,0.5,0.5
0.25,100,1,6000000.0,0.4,133,-1,0.6666666666666666,0.4666666666666667
0.25,5,2,6000000.0,0.4,134,-1,0.5,0.5
0.25,4,2,6000000.0,0.4,135,-1,0.5,0.5
0,1,2,6000000.0,0.4,136,-1,0.75,0.75
0.1,5,2,6000000.0,0.4,137,-1,0.5,0.5
0.05,4,3,6000000.0,0.4,138,-1,0.6666666666666666,0.6666666666666666
0.25,3,3,6000000.0,0.4,139,-1,0.4,0.4
0.05,5,3,6000000.0,0.4,140,-1,0.5,0.5
0.1,4,3,6000000.0,0.4,141,-1,0.75,0.8333333333333333
0,3,3,6000000.0,0.4,142,-1,0.6666666666666666,0.6666666666666666
0.15,2,3,6000000.0,0.4,143,-1,1.0,1.0
0.15,1,2,6000000.0,0.4,144,-1,1.0,1.0
0.25,1,3,6000000.0,0.4,145,-1,1.0,0.6666666666666666
0.1,70,1,6000000.0,0.4,146,-1,1.0,0.5
0.15,5,2,6000000.0,0.4,147,-1,0.5,0.25
0,100,1,6000000.0,0.4,148,-1,1.0,0.5
0.05,90,1,8880000.000000002,0.4,149,-1,1.0,0.5
0.1,90,1,8880000.000000002,0.2,150,-1,1.0,0.5
0.2,3,2,8880000.000000002,0.2,151,-1,1.0,0.5
0.05,3,3,8880000.000000002,0.2,152,-1,1.0,0.75
0.05,1,3,8880000.000000002,0.2,153,-1,1.0,0.75
0.15,1,3,6000000.0,0.2,154,-1,0.6,0.41666666666666663
0,3,2,6000000.0,0.2,155,-1,1.0,0.6111111111111112
0.2,100,1,6000000.0,0.2,156,-1,1.0,0.5208333333333333
0.05,3,2,6000000.0,0.2,157,-1,0.5,0.25
0.15,5,3,6000000.0,0.2,158,-1,0.8333333333333334,0.5052083333333333
0.25,3,2,6000000.0,0.2,159,-1,0.8333333333333334,0.421875
0.25,2,3,6000000.0,0.4,160,-1,0.8333333333333334,0.6458333333333333
0.2,5,3,6000000.0,0.4,161,-1,0.8333333333333334,0.5625
0.1,2,3,8880000.000000002,0.4,162,-1,1.0,0.7083333333333333
0.1,5,3,8880000.000000002,0.4,163,-1,0.75,0.43888888888888894
0.15,70,1,8880000.000000002,0.4,164,-1,0.8571428571428571,0.7738095238095237
0.1,4,2,6000000.0,0.4,165,-1,0.8333333333333334,0.7083333333333333
0.2,3,2,6000000.0,0.4,166,-1,0.8,0.5833333333333333
0,1,2,6000000.0,0.4,167,-1,0.8,0.5666666666666667
0.2,4,2,6000000.0,0.4,168,-1,0.5,0.25
0,5,3,6000000.0,0.4,169,-1,1.0,0.5
0.25,4,3,6000000.0,0.4,170,-1,1.0,0.5
0.25,100,1,6000000.0,0.4,171,-1,1.0,0.5833333333333333
0,4,2,6000000.0,0.4,172,-1,0.75,0.41666666666666663
0,1,3,6000000.0,0.4,173,-1,0.6,0.41666666666666663
0.15,70,1,6000000.0,0.4,174,-1,0.6666666666666666,0.35
0.05,3,2,6000000.0,0.4,175,-1,0.5714285714285714,0.6166666666666667
0.25,5,3,6000000.0,0.4,176,-1,0.75,0.625
0.1,1,2,6000000.0,0.4,177,-1,0.5714285714285714,0.7
0,4,3,6000000.0,0.4,178,-1,0.8,0.8333333333333333
0,80,1,6000000.0,0.4,179,-1,0.6666666666666666,0.5
0.25,4,3,6000000.0,0.4,180,1,0.5,0.5
0.25,4,3,6000000.0,0.4,181,1,0.75,0.75
0.25,4,3,6000000.0,0.4,182,1,1.0,0.875
0.25,4,3,6000000.0,0.4,183,1,1.0,1.0
0.25,4,3,6000000.0,0.4,184,1,1.0,1.0
0.25,4,3,6000000.0,0.4,185,1,1.0,0.9166666666666666
0.25,4,3,6000000.0,0.4,186,1,1.0,1.0
0.25,4,3,6000000.0,0.4,187,1,1.0,1.0
0.25,4,3,6000000.0,0.4,188,1,1.0,0.75
0.25,4,3,6000000.0,0.4,189,1,1.0,1.0
0.25,4,3,6000000.0,0.4,190,1,1.0,1.0
0.25,4,3,6000000.0,0.4,191,1,1.0,0.9166666666666666
0.25,4,3,6000000.0,0.4,192,1,1.0,1.0
0.25,4,3,6000000.0,0.4,193,1,0.8,0.8333333333333333
0.25,4,3,6000000.0,0.4,194,1,0.8,0.8333333333333333
0.25,4,3,6000000.0,0.4,195,1,0.8,0.8333333333333333
0.25,4,3,6000000.0,0.4,196,1,0.8,0.8333333333333333
0.25,4,3,6000000.0,0.4,197,1,1.0,0.6
0.25,4,3,6000000.0,0.4,198,1,1.0,0.5833333333333334
0.25,4,3,6000000.0,0.4,199,1,1.0,0.9166666666666666
0.25,4,3,6000000.0,0.4,200,1,0.8,0.6666666666666666
0.25,4,3,6000000.0,0.4,201,1,1.0,0.6
0.25,4,3,6000000.0,0.4,202,1,0.8333333333333334,0.775
0.25,4,3,6000000.0,0.4,203,1,1.0,0.8
0.25,4,3,6000000.0,0.4,204,1,0.8,0.8333333333333333
0.25,4,3,6000000.0,0.4,205,1,1.0,0.738095238095238
0.25,4,3,6000000.0,0.4,206,1,1.0,0.8214285714285714
0.25,4,3,6000000.0,0.4,207,1,1.0,0.75
0.25,4,3,6000000.0,0.4,208,1,1.0,0.9166666666666666
0.25,4,3,6000000.0,0.4,209,1,0.8,0.7083333333333333
0.25,4,3,6000000.0,0.4,210,1,1.0,0.9583333333333333
0.25,4,3,6000000.0,0.4,211,1,0.6,0.5833333333333333
0.25,4,3,6000000.0,0.4,212,1,0.6,0.5833333333333333
0.25,4,3,6000000.0,0.4,213,1,0.6,0.5833333333333333
0.24,4,3,8880000.000000002,0.4,214,1,0.75,0.5
0.24,4,3,8880000.000000002,0.4,215,1,0.75,0.5
0.24,4,3,8880000.000000002,0.4,216,1,0.75,0.5833333333333333
0.24,4,3,8880000.000000002,0.4,217,1,0.8,0.6666666666666666
0.24,4,3,8880000.000000002,0.4,218,1,0.8,0.6666666666666666
0.24,4,3,8880000.000000002,0.4,219,1,0.8,0.6666666666666666
0.07,2,2,8880000.000000002,0.2,220,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,221,1,0.8,0.8333333333333333
0.05,2,2,8880000.000000002,0.2,222,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,223,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,224,1,0.6,0.5277777777777778
0.05,2,2,8880000.000000002,0.2,225,1,0.75,0.5833333333333333
0.05,2,2,8880000.000000002,0.2,226,1,0.5714285714285714,0.55
0.05,2,2,8880000.000000002,0.2,227,1,0.8,0.75
0.05,2,2,8880000.000000002,0.2,228,1,0.75,0.75
0.05,2,2,8880000.000000002,0.2,229,1,1.0,0.8333333333333333
0.05,2,2,8880000.000000002,0.2,230,1,1.0,0.9583333333333333
0.05,2,2,8880000.000000002,0.2,231,1,1.0,0.8666666666666667
0.05,2,2,8880000.000000002,0.2,232,1,1.0,0.7222222222222222
0.05,2,2,8880000.000000002,0.2,233,1,0.8,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,234,1,1.0,0.75
0.05,2,2,8880000.000000002,0.2,235,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,236,1,1.0,0.5833333333333333
0.05,2,2,8880000.000000002,0.2,237,1,1.0,0.7
0.05,2,2,8880000.000000002,0.2,238,1,1.0,0.8777777777777778
0.05,2,2,8880000.000000002,0.2,239,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,240,1,1.0,0.875
0.05,2,2,8880000.000000002,0.2,241,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,242,1,1.0,0.8402777777777778
0.05,2,2,8880000.000000002,0.2,243,1,1.0,0.8333333333333334
0.05,2,2,8880000.000000002,0.2,244,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,245,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,246,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,247,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,248,1,1.0,0.7666666666666666
0.05,2,2,8880000.000000002,0.2,249,1,1.0,0.85
0.05,2,2,8880000.000000002,0.2,250,1,1.0,0.875
0.05,2,2,8880000.000000002,0.2,251,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,252,1,1.0,0.75
0.05,2,2,8880000.000000002,0.2,253,1,1.0,0.75
0.05,2,2,8880000.000000002,0.2,254,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,255,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,256,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,257,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,258,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,259,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,260,1,0.8,0.75
0.05,2,2,8880000.000000002,0.2,261,1,0.8,0.75
0.05,2,2,8880000.000000002,0.2,262,1,0.6666666666666666,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,263,1,0.8333333333333334,0.7333333333333334
0.05,2,2,8880000.000000002,0.2,264,1,0.8333333333333334,0.75
0.05,2,2,8880000.000000002,0.2,265,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,266,1,1.0,0.6
0.05,2,2,8880000.000000002,0.2,267,1,1.0,0.625
0.05,2,2,8880000.000000002,0.2,268,1,1.0,0.9166666666666666
0.05,2,2,8880000.000000002,0.2,269,1,1.0,1.0
0.05,2,2,8880000.000000002,0.2,270,1,0.8333333333333334,0.7777777777777778
0.05,2,2,8880000.000000002,0.2,271,1,0.75,0.75
0.05,2,2,8880000.000000002,0.2,272,1,0.6666666666666666,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,273,1,0.8,0.5499999999999999
0.05,2,2,8880000.000000002,0.2,274,1,0.8,0.5666666666666667
0.05,2,2,8880000.000000002,0.2,275,1,1.0,0.7166666666666666
0.05,2,2,8880000.000000002,0.2,276,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,277,1,0.8,0.5833333333333333
0.05,2,2,8880000.000000002,0.2,278,1,1.0,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,279,1,1.0,0.7833333333333333
0.05,2,2,8880000.000000002,0.2,280,1,1.0,0.7833333333333333
0.05,2,2,8880000.000000002,0.2,281,1,1.0,0.7833333333333333
0.05,2,2,8880000.000000002,0.2,282,1,1.0,0.75
0.05,2,2,8880000.000000002,0.2,283,1,0.6666666666666666,0.6666666666666666
0.05,2,2,8880000.000000002,0.2,284,1,0.75,0.49999999999999994
0.05,2,2,8880000.000000002,0.2,285,1,0.6,0.4722222222222222
0.05,2,2,8880000.000000002,0.2,286,1,0.75,0.47916666666666663
0.05,2,2,8880000.000000002,0.2,287,1,1.0,0.49999999999999994
0.05,2,2,3119999.9999999977,0.2,288,0,1.0,0.8333333333333333
0.05,2,2,3119999.9999999977,0.2,289,0,0.75,0.4583333333333333
0.25,4,3,3119999.9999999977,0.5,290,1,1.0,0.5833333333333334
0.25,4,3,3119999.9999999977,0.5,291,1,0.75,0.4583333333333333
0.25,4,3,3119999.9999999977,0.5,292,1,0.6,0.375
0.25,4,3,3119999.9999999977,0.5,293,1,0.6666666666666666,0.6666666666666666
